event,series,ticker,title,yes_bid,yes_ask,last_price,volume,open_interest,status,close_time,pulled_at
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBMLLOYD32-1,MarShawn Lloyd: 1+ receptions,0.6400,0.6600,0.6700,21.00,21.00,active,2026-09-27T00:15:00Z,2026-09-24T16:14:26+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-ATLBROBINSON7-11,Bijan Robinson: 11+ receptions,0.0100,0.0400,0.0400,74.00,74.00,active,2026-09-27T00:15:00Z,2026-09-24T16:14:26+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBCWATSON9-8,Christian Watson: 8+ receptions,0.1400,0.1600,0.1500,3371.57,3371.57,active,2026-09-27T00:15:00Z,2026-09-24T16:14:26+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-ATLOZACCHEAUS14-2,Olamide Zaccheaus: 2+ receptions,0.4000,0.4100,0.4000,5930.22,5930.22,active,2026-09-27T00:15:00Z,2026-09-24T16:14:26+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-ATLBROBINSON7-5,Bijan Robinson: 5+ receptions,0.5000,0.5100,0.5100,29178.12,26905.37,active,2026-09-27T00:15:00Z,2026-09-24T16:14:26+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBSMOORE23-3,Skyy Moore: 3+ receptions,0.1500,0.1700,0.1800,783.38,782.38,active,2026-09-27T00:15:00Z,2026-09-24T16:14:26+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-ATLJDOTSON4-6,Jahan Dotson: 6+ receptions,0.0100,0.0400,0.0000,0.00,0.00,active,2026-09-27T00:15:00Z,2026-09-24T16:14:26+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBCBROOKS30-5,Chris Brooks: 5+ receptions,0.0000,0.0300,0.0000,0.00,0.00,active,2026-09-27T00:15:00Z,2026-09-24T16:14:26+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBTKRAFT85-10,Tucker Kraft: 10+ receptions,0.0100,0.0300,0.0000,0.00,0.00,active,2026-09-27T00:15:00Z,2026-09-24T16:14:26+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBCWATSON9-11,Christian Watson: 11+ receptions,0.0100,0.0300,0.0000,0.00,0.00,active,2026-09-27T00:15:00Z,2026-09-24T16:14:26+00:00
