player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Colbie Young,CIN,WR,PIT,0.84,,,,,,,,,,,,,0.35,0.48,3.5,0.02,0.35,0.0,,,,,,,
Tutu Atwell,LAR,WR,DEN,0.83,,,,,,,,,0.01,0.02,0.0,0.0,0.28,0.67,4.43,0.02,0.44,0.0,,,,,,,
Tay Martin,DET,WR,NYJ,0.79,,,,,,,,,,,,,0.28,0.43,3.53,0.03,0.35,0.0,,,,,,,
Marquise Brown,PHI,WR,CHI,0.73,,,,,,,,,0.18,0.98,0.01,0.1,0.22,0.35,2.79,0.02,0.28,0.0,,,,,,,
Tylan Wallace,CLE,WR,CAR,0.73,,,,,,,,,,,,,0.27,0.42,3.18,0.02,0.32,0.0,,,,,,,
Cyrus Allen,KC,WR,MIA,0.69,,,,,,,,,,,,,0.23,0.37,3.05,0.02,0.31,0.0,,,,,,,
Deion Burks,IND,WR,HOU,0.63,,,,,,,,,,,,,0.26,0.42,2.75,0.02,0.27,0.0,,,,,,,
Jaylin Lane,WAS,WR,SEA,0.57,,,,,,,,,0.22,0.83,0.01,0.08,0.18,0.34,2.08,0.01,0.21,0.0,,,,,,,
Tom Kennedy,DET,WR,NYJ,0.53,,,,,,,,,,,,,0.19,0.3,2.43,0.02,0.24,0.0,,,,,,,
Dohnte Meyers,CIN,WR,PIT,0.52,,,,,,,,,0.08,0.3,0.0,0.03,0.18,0.28,2.13,0.01,0.21,,,,,,,,
Kameron Johnson,TB,WR,MIN,0.47,,,,,,,,,0.05,0.22,0.0,0.02,0.15,0.29,1.92,0.02,0.19,0.0,,,,,,,
Dareke Young,LV,WR,NO,0.46,,,,,,,,,,,,,0.17,0.29,2.1,0.01,0.21,0.0,,,,,,,
Bo Melton,GB,WR,ATL,0.46,,,,,,,,,0.19,1.07,0.01,0.11,0.1,0.23,1.46,0.01,0.15,0.0,,,,,,,
Jonathan Mingo,DAL,WR,BAL,0.44,,,,,,,,,,,,,0.15,0.36,2.42,0.01,0.24,,,,,,,,
Treylon Burks,WAS,WR,SEA,0.42,,,,,,,,,0.23,0.9,0.01,0.09,0.13,0.28,1.48,0.0,0.15,0.0,,,,,,,
Reggie Virgil,ARI,WR,SF,0.37,,,,,,,,,,,,,0.14,0.24,1.67,0.01,0.17,0.0,,,,,,,
Jalen Brooks,ARI,WR,SF,0.35,,,,,,,,,,,,,0.13,0.25,1.64,0.01,0.16,0.0,,,,,,,
Skyler Bell,BUF,WR,LAC,0.28,,,,,,,,,0.03,0.15,0.0,0.01,0.09,0.16,1.15,0.01,0.12,0.0,,,,,,,
Elijah Moore,PHI,WR,CHI,0.27,,,,,,,,,0.08,0.32,0.0,0.03,0.08,0.14,0.99,0.01,0.1,,,,,,,,
Zavion Thomas,CHI,WR,PHI,0.25,,,,,,,,,0.12,0.49,0.0,0.05,0.07,0.13,0.82,0.0,0.08,0.0,,,,,,,
Malachi Corley,CLE,WR,CAR,0.23,,,,,,,,,0.14,1.0,0.01,0.1,0.04,0.06,0.44,0.0,0.04,0.0,,,,,,,
Ben Skowronek,PIT,WR,CIN,0.22,,,,,,,,,,,,,0.09,0.13,0.96,0.01,0.1,,,,,,,,
Devin Duvernay,ARI,WR,SF,0.2,,,,,,,,,0.03,0.17,0.0,0.02,0.08,0.12,0.74,0.0,0.07,0.0,,,,,,,
Nikko Remigio,KC,WR,MIA,0.18,,,,,,,,,0.03,0.16,0.0,0.02,0.05,0.08,0.73,0.01,0.07,0.0,,,,,,,
Elijah Sarratt,BAL,WR,DAL,0.18,,,,,,,,,0.01,0.03,0.0,0.0,0.06,0.09,0.84,0.01,0.08,0.0,,,,,,,
John Metchie,CAR,WR,CLE,0.15,,,,,,,,,0.01,0.03,0.0,0.0,0.06,0.09,0.58,0.0,0.06,0.0,,,,,,,
Kaden Wetjen,PIT,WR,CIN,0.14,,,,,,,,,0.05,0.26,0.0,0.03,0.04,0.06,0.49,0.0,0.05,,,,,,,,
Myles Price,MIN,WR,TB,0.11,,,,,,,,,,,,,0.04,0.06,0.47,0.0,0.05,,,,,,,,
Britain Covey,PHI,WR,CHI,0.1,,,,,,,,,,,,,0.04,0.06,0.41,0.0,0.04,0.0,,,,,,,
Greg Ward,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy McDuffie,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Hall,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Brown,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Benjamin,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damore'ea Stringfellow,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalija Lipscomb,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Westerkamp,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Law,DET,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Rutenbeck,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Williams,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Kassis,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Flowers,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier White,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marqise Lee,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Dorsett,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Johnson,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Parker,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Jennings,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Blake,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
DaeSean Hamilton,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrell Bynum,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Paige,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Manjack,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalon Calhoun,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Reed,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dymere Miller,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
