player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Michael Colubiale,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Truesdell,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth DeValve,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Serigne,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Vokolek,ARI,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernhard Seikovits,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Epps,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Hoppes,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevie Donatell,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temarrick Hemingway,WAS,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Vital,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Deal,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Schreck,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Jacobson,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Towt,IND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Sutton,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Grimble,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Meier,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakeem Butler,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Neville,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.J. McFarland,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
