player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Brenton Strange,JAX,TE,NE,9.04,,,,,,,,,,,,,3.7,4.75,36.85,0.27,3.68,0.01,,,,,,,
T.J. Hockenson,MIN,TE,TB,8.79,,,,,,,,,,,,,3.63,4.7,36.4,0.25,3.64,0.01,,,,,,,
Oronde Gadsden,LAC,TE,BUF,8.77,,,,,,,,,,,,,3.25,4.78,41.08,0.23,4.11,0.01,,,,,,,
Pat Freiermuth,PIT,TE,CIN,8.64,,,,,,,,,,,,,3.5,4.54,37.14,0.24,3.71,0.01,,,,,,,
AJ Barner,SEA,TE,WAS,8.37,,,,,,,,,0.64,2.59,0.04,0.26,2.91,3.69,31.52,0.31,3.15,0.01,,,,,,,
Darren Waller,CAR,TE,CLE,7.76,,,,,,,,,,,,,2.85,4.07,28.72,0.34,2.87,0.01,,,,,,,
Gunnar Helm,TEN,TE,NYG,7.53,,,,,,,,,,,,,3.5,4.28,29.7,0.18,2.97,0.01,,,,,,,
Cade Otton,TB,TE,MIN,7.53,,,,,,,,,,,,,3.3,4.69,32.13,0.17,3.21,0.01,,,,,,,
Kenyon Sadiq,NYJ,TE,DET,6.88,,,,,,,,,0.11,0.5,0.01,0.05,2.95,3.99,27.26,0.18,2.73,0.01,,,,,,,
Mike Gesicki,CIN,TE,PIT,6.37,,,,,,,,,,,,,2.54,3.46,27.52,0.18,2.75,0.01,,,,,,,
Greg Dulcich,MIA,TE,KC,5.77,,,,,,,,,,,,,2.35,3.09,26.42,0.13,2.64,0.01,,,,,,,
Evan Engram,DEN,TE,LAR,5.25,,,,,,,,,,,,,2.32,3.11,21.7,0.13,2.17,0.01,,,,,,,
Chig Okonkwo,WAS,TE,SEA,5.09,,,,,,,,,,,,,2.29,3.37,20.97,0.12,2.1,0.01,,,,,,,
Colby Parkinson,LAR,TE,DEN,5.05,,,,,,,,,,,,,1.94,2.93,18.71,0.21,1.87,0.01,,,,,,,
Michael Mayer,LV,TE,NO,4.45,,,,,,,,,,,,,2.1,2.95,18.18,0.09,1.82,0.01,,,,,,,
Dawson Knox,BUF,TE,LAC,4.11,,,,,,,,,,,,,1.45,2.07,16.09,0.17,1.61,0.01,,,,,,,
Terrance Ferguson,LAR,TE,DEN,3.63,,,,,,,,,,,,,1.29,2.63,14.58,0.15,1.46,0.01,,,,,,,
Darnell Washington,PIT,TE,CIN,3.62,,,,,,,,,,,,,1.54,2.09,16.35,0.08,1.64,0.01,,,,,,,
Cole Kmet,CHI,TE,PHI,3.54,,,,,,,,,,,,,1.54,2.21,14.49,0.09,1.45,0.01,,,,,,,
Johnny Mundt,PHI,TE,CHI,3.54,,,,,,,,,,,,,1.47,2.07,14.94,0.1,1.49,,,,,,,,
Theo Johnson,NYG,TE,TEN,3.52,,,,,,,,,,,,,1.29,1.94,17.41,0.08,1.74,0.0,,,,,,,
Noah Gray,KC,TE,MIA,3.48,,,,,,,,,,,,,1.37,1.8,14.09,0.12,1.41,0.01,,,,,,,
Noah Fant,NO,TE,LV,3.28,,,,,,,,,,,,,1.3,1.73,11.98,0.13,1.2,0.01,,,,,,,
Jonnu Smith,GB,TE,ATL,3.27,,,,,,,,,,,,,1.39,1.93,12.5,0.11,1.25,0.01,,,,,,,
Foster Moreau,HOU,TE,IND,3.12,,,,,,,,,,,,,1.27,1.59,13.56,0.08,1.36,0.0,,,,,,,
Elijah Arroyo,SEA,TE,WAS,3.08,,,,,,,,,,,,,1.12,1.6,13.92,0.09,1.39,0.0,,,,,,,
Will Kacmarek,MIA,TE,KC,3.01,,,,,,,,,,,,,1.38,1.74,12.08,0.07,1.21,0.0,,,,,,,
Zach Ertz,PHI,TE,CHI,3.0,,,,,,,,,,,,,1.24,1.68,12.68,0.08,1.27,0.0,,,,,,,
Tommy Tremble,CAR,TE,CLE,2.88,,,,,,,,,,,,,1.25,1.72,10.24,0.1,1.02,0.0,,,,,,,
