player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Mo Alie-Cox,IND,TE,HOU,1.07,,,,,,,,,,,,,0.44,0.66,4.37,0.03,0.44,0.0,,,,,,,
Josh Cuevas,BAL,TE,DAL,1.03,,,,,,,,,,,,,0.39,0.51,4.58,0.03,0.46,0.0,,,,,,,
E.J. Jenkins,PHI,TE,CHI,1.02,,,,,,,,,,,,,0.42,0.58,4.27,0.03,0.43,,,,,,,,
Max Klare,LAR,TE,DEN,0.98,,,,,,,,,,,,,0.43,0.68,4.07,0.02,0.41,0.0,,,,,,,
Cade Stover,HOU,TE,IND,0.87,,,,,,,,,0.12,0.43,0.0,0.04,0.36,0.48,3.34,0.02,0.33,0.0,,,,,,,
Jake Briningstool,KC,TE,MIA,0.82,,,,,,,,,,,,,0.31,0.41,3.37,0.03,0.34,,,,,,,,
Jelani Woods,NYJ,TE,DET,0.82,,,,,,,,,,,,,0.31,0.51,3.53,0.03,0.35,,,,,,,,
Charlie Woerner,ATL,TE,GB,0.71,,,,,,,,,,,,,0.33,0.43,2.56,0.02,0.26,0.0,,,,,,,
Davis Allen,LAR,TE,DEN,0.68,,,,,,,,,,,,,0.32,0.48,2.63,0.02,0.26,0.0,,,,,,,
Josh Whyle,GB,TE,ATL,0.57,,,,,,,,,,,,,0.25,0.32,2.08,0.02,0.21,0.0,,,,,,,
Ian Thomas,LV,TE,NO,0.51,,,,,,,,,,,,,0.23,0.32,1.97,0.01,0.2,0.0,,,,,,,
Quintin Morris,JAX,TE,NE,0.49,,,,,,,,,,,,,0.21,0.29,1.81,0.02,0.18,0.0,,,,,,,
Justin Joly,MIA,TE,KC,0.49,,,,,,,,,,,,,0.21,0.28,2.12,0.01,0.21,0.0,,,,,,,
Seydou Traore,MIA,TE,KC,0.48,,,,,,,,,,,,,0.2,0.28,2.01,0.01,0.2,0.0,,,,,,,
Eric Saubert,SEA,TE,WAS,0.45,,,,,,,,,,,,,0.18,0.26,1.83,0.01,0.18,0.0,,,,,,,
Brevin Jordan,HOU,TE,IND,0.43,,,,,,,,,,,,,0.18,0.25,1.85,0.01,0.19,0.0,,,,,,,
Drew Ogletree,IND,TE,HOU,0.39,,,,,,,,,,,,,0.16,0.25,1.59,0.01,0.16,0.0,,,,,,,
Tyler Conklin,DET,TE,NYJ,0.35,,,,,,,,,,,,,0.14,0.2,1.56,0.01,0.16,0.0,,,,,,,
Chris Manhertz,NYG,TE,TEN,0.32,,,,,,,,,,,,,0.12,0.19,1.44,0.01,0.14,0.0,,,,,,,
Dallen Bentley,DEN,TE,LAR,0.23,,,,,,,,,,,,,0.1,0.14,0.93,0.01,0.09,,,,,,,,
Cameron Latu,NE,TE,JAX,0.22,,,,,,,,,,,,,0.09,0.13,0.91,0.01,0.09,0.0,,,,,,,
Ja'Tavion Sanders,CAR,TE,CLE,0.22,,,,,,,,,,,,,0.1,0.13,0.77,0.01,0.08,0.0,,,,,,,
Riley Nowakowski,PIT,TE,CIN,0.21,,,,,,,,,,,,,0.09,0.13,0.87,0.01,0.09,0.0,,,,,,,
Payne Durham,TB,TE,MIN,0.2,,,,,,,,,,,,,0.07,0.13,0.81,0.01,0.08,0.0,,,,,,,
Carsen Ryan,CLE,TE,CAR,0.2,,,,,,,,,,,,,0.08,0.11,0.78,0.01,0.08,,,,,,,,
Kylen Granson,TEN,TE,NYG,0.16,,,,,,,,,,,,,0.08,0.11,0.71,0.0,0.07,0.0,,,,,,,
Jack Endries,CIN,TE,PIT,0.12,,,,,,,,,,,,,0.05,0.07,0.5,0.0,0.05,0.0,,,,,,,
Bauer Sharp,TB,TE,MIN,0.11,,,,,,,,,,,,,0.05,0.06,0.41,0.0,0.04,,,,,,,,
Robert Tonyan,PIT,TE,CIN,0.08,,,,,,,,,,,,,0.03,0.04,0.3,0.0,0.03,0.0,,,,,,,
Feleipe Franks,CAR,TE,CLE,0.07,,,,,,,,,0.05,0.2,0.0,0.02,0.02,0.03,0.17,0.0,0.02,0.0,,,,,,,
Ko Kieft,TB,TE,MIN,0.04,,,,,,,,,,,,,0.02,0.03,0.18,0.0,0.02,0.0,,,,,,,
Benjamin Watson,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Bloom,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Thomas,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Sokol,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Mason,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Williams,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Culp,TB,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Taula,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Arnold,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Fotheringham,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Kattus,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Torres,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Thompson,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Guggemos,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jace Sternberger,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Hamilton,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Geers,ARI,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kivon Cartwright,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Gurd,LV,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Fisk,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Murtagh,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Wells,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Paulsen,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor Cupp,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Hudson,CIN,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
