player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Nehemiah Pritchett,SEA,CB,WAS,0.23,0.23,,0.06,0.06,,,,
Mekhi Blackmon,CLE,CB,CAR,0.43,0.27,,0.05,0.05,,,,
Joey Porter,PIT,DB,CIN,2.12,1.01,,0.05,0.64,0.05,,,
Javon Bullard,GB,DB,ATL,2.45,1.47,,,0.11,0.11,,0.05,
Clark Phillips,CHI,CB,PHI,0.31,0.26,,0.05,1.24,,,,
JuJu Brents,MIA,DB,KC,1.47,0.66,,0.05,0.3,,,,
Dru Phillips,NYG,DB,TEN,1.28,0.67,,0.05,0.21,0.21,,,
Riley Moss,DEN,DB,LAR,2.72,1.08,,0.05,0.51,0.1,,,
Isaac Yiadom,WAS,CB,SEA,0.35,0.35,,0.05,0.05,,,,
Kevin Byard,NE,DB,JAX,3.81,2.16,,0.05,0.31,0.21,,,
Michael Taaffe,MIA,DB,KC,2.03,1.88,,0.05,0.3,,,,
Jaylon Jones,TEN,DB,NYG,0.42,0.26,,0.05,0.05,,,,
Craig Woodson,NE,DB,JAX,2.42,1.96,,,0.26,0.21,,0.05,
C.J. Henderson,ATL,CB,GB,0.31,0.26,,0.05,0.05,,,,
Mike Hughes,ATL,CB,GB,2.09,0.73,,0.05,0.26,0.1,,,
Avieon Terrell,ATL,DB,GB,0.99,0.63,,0.05,0.31,,,,
Chuck Clark,DET,DB,NYJ,2.18,1.39,,,0.12,0.12,0.06,,
Isaiah Simmons,CAR,DB,CLE,0.39,0.61,,,,0.06,0.06,,
Garrett Taylor,,S,,,,,,,,,,
Car'lin Vigers,PIT,CB,,,,,,,,,,
Elijaah Goins,,FS,,,,,,,,,,
Joshua Pickett,,CB,,,,,,,,,,
Malcolm Butler,,CB,,,,,,,,,,
A.J. Howard,,SS,,,,,,,,,,
Javien Hamilton,,CB,,,,,,,,,,
Kemah Siverand,,DB,,,,,,,,,,
Marquez White,,CB,,,,,,,,,,
Juanyeh Thomas,,DB,,,,,,,,,,
D'Angelo Amos,DET,DB,,,,,,,,,,
Essang Bassey,,CB,,,,,,,,,,
Shon Stephens,,CB,,,,,,,,,,
Jermaine Waller,,DB,,,,,,,,,,
Marcus Maye,,DB,,,,,,,,,,
Lavert Hill,,CB,,,,,,,,,,
Neiko Thorpe,,CB,,,,,,,,,,
Josh Hayes,TB,CB,,,,,,,,,,
Darian Stewart,,FS,,,,,,,,,,
Coty Sensabaugh,,CB,,,,,,,,,,
Derrick Baity,,CB,,,,,,,,,,
Marvell Tell,,CB,,,,,,,,,,
Sam Lockett,,DB,,,,,,,,,,
Eddie Jackson,,DB,,,,,,,,,,
Brandon King,,LB,,,,,,,,,,
Ryan Watts,,DB,,,,,,,,,,
Leonard Johnson,,CB,,,,,,,,,,
Trey Robinson,,FS,,,,,,,,,,
Brian Poole,IND,CB,,,,,,,,,,
Keidron Smith,CHI,DB,,,,,,,,,,
Jeremiah Walker,,CB,,,,,,,,,,
Brandon Wilson,,DB,,,,,,,,,,
Tramaine Brock,,CB,,,,,,,,,,
Ajani Carter,,DB,,,,,,,,,,
Michael Davis,,CB,,,,,,,,,,
Cameron Mitchell,IND,DB,,,,,,,,,,
Ladarius Tennison,,DB,,,,,,,,,,
Sam Webb,,CB,,,,,,,,,,
Hudson Clark,,DB,,,,,,,,,,
Jeff Hector,,CB,,,,,,,,,,
Mark McLaurin,,LB,,,,,,,,,,
De'Vante Cross,,CB,,,,,,,,,,
Nash Fouch,,DB,,,,,,,,,,
Jeff Heath,,DB,,,,,,,,,,
John Brannon,,CB,,,,,,,,,,
Mekhi Rodgers,,CB,,,,,,,,,,
Jordan Fuller,,DB,,,,,,,,,,
Cam Lampkin,LAR,DB,,,,,,,,,,
Kahzir Brown,,CB,,,,,,,,,,
Kris Boyd,,CB,,,,,,,,,,
Jermaine Kelly,,CB,,,,,,,,,,
Kendall Sheffield,,DB,,,,,,,,,,
Ronald Zamort,,CB,,,,,,,,,,
Warren Gatewood,,CB,,,,,,,,,,
Jalen Julius,,CB,,,,,,,,,,
Ross Cockrell,,CB,,,,,,,,,,
Max Hurleman,PIT,CB,,,,,,,,,,
Jhavonte Dean,,CB,,,,,,,,,,
Keni-H Lovely,,CB,,,,,,,,,,
Willie Roberts,,CB,,,,,,,,,,
Anthony Levine,BAL,DB,,,,,,,,,,
Matt Hankins,,CB,,,,,,,,,,
Mike Hilton,,CB,,,,,,,,,,
Corey Griffin,,S,,,,,,,,,,
Mike Adams,,FS,,,,,,,,,,
J.D. Harmon,,CB,,,,,,,,,,
Arquon Bush,,CB,,,,,,,,,,
