player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Trace Ford,NYG,DL,,,,,,,,,,
Pheldarius Payne,,DL,,,,,,,,,,
Nelson Adams,,DE,,,,,,,,,,
Kalia Davis,CLE,DL,,,,,,,,,,
Randy Gregory,,DE,,,,,,,,,,
Deven Eastern,SEA,DT,,,,,,,,,,
Marcus Harris,KC,DL,,,,,,,,,,
Trey Flowers,,LB,,,,,,,,,,
Chris Smith,DET,DL,,,,,,,,,,
Ricky Barber,WAS,DT,,,,,,,,,,
Elerson G. Smith,,LB,,,,,,,,,,
Kevin Givens,SF,DT,,,,,,,,,,
Aidan Hubbard,SEA,DE,,,,,,,,,,
Greg Townsend,,DE,,,,,,,,,,
Rashad Weaver,,LB,,,,,,,,,,
Deontay Greenberry,,DE,,,,,,,,,,
Terry Redden,,DT,,,,,,,,,,
Tylor Harris,,DT,,,,,,,,,,
Travis Bell,,DL,,,,,,,,,,
Kenneth Grant,MIA,DL,,,,,,,,,,
Paschal Ekeji,NYJ,DE,,,,,,,,,,
Tracy Sprinkle,,DT,,,,,,,,,,
Eric Johnson,GB,DT,,,,,,,,,,
Eric Gregory,NE,DT,,,,,,,,,,
Kenny Randall,,DT,,,,,,,,,,
Gus Cumberlander,,DE,,,,,,,,,,
Cameron Wake,,DE,,,,,,,,,,
J.R. Singleton,,DL,,,,,,,,,,
Alex Barrett,,DE,,,,,,,,,,
Aaron Patrick,,DE,,,,,,,,,,
Lorenzo Carter,,LB,,,,,,,,,,
Max Llewellyn,MIA,DE,,,,,,,,,,
Joshua Kaindoh,,DE,,,,,,,,,,
Andre Carter,,DL,,,,,,,,,,
Jordan Jenkins,,DE,,,,,,,,,,
Jhaustin Thomas,,DT,,,,,,,,,,
John Daka,,DE,,,,,,,,,,
Janarius Robinson,,DE,,,,,,,,,,
Tipa Galeai,,LB,,,,,,,,,,
T.J. Bollers,JAX,DL,,,,,,,,,,
Quindarius Dunnigan,,DL,,,,,,,,,,
Aziz Shittu,,DT,,,,,,,,,,
Lavon Hooks,,DT,,,,,,,,,,
Nick James,,DT,,,,,,,,,,
Timmy Jernigan,,DT,,,,,,,,,,
Niko Lalos,,DE,,,,,,,,,,
Mikey Bart,,DE,,,,,,,,,,
Buddha Jones,,NT,,,,,,,,,,
Kobe Jones,,LB,,,,,,,,,,
Ray Drew,,DE,,,,,,,,,,
Hauati Pututau,,DT,,,,,,,,,,
Dominique Davis,,DE,,,,,,,,,,
Keveion'ta Spears,,DT,,,,,,,,,,
David Irving,,DE,,,,,,,,,,
Brian Price,,DT,,,,,,,,,,
Devin Brandt-Epps,,DL,,,,,,,,,,
Kenneth Horsley,,DT,,,,,,,,,,
Ledarius Mack,,LB,,,,,,,,,,
Ralph Holley,,DT,,,,,,,,,,
Tim Keenan,LV,DT,,,,,,,,,,
Hayden Harris,,DE,,,,,,,,,,
Tommy Akingbesote,,DT,,,,,,,,,,
Joshua Pryor,,DL,,,,,,,,,,
Joe Gaziano,,DE,,,,,,,,,,
Decarius Hawthorne,,DL,,,,,,,,,,
Devaroe Lawrence,,DT,,,,,,,,,,
Kasim Edebali,,DE,,,,,,,,,,
A.J. Epenesa,PHI,DE,CHI,0.79,0.62,,,,0.06,,,
Shemar Turner,CHI,DE,PHI,1.09,0.31,,,,0.16,,,
Arnold Ebiketie,PHI,DL,CHI,0.79,0.62,,,,0.06,,,
Patrick Johnson,LV,LB,NO,0.59,0.43,,,,0.05,,,
Wesley Bailey,LAR,DL,DEN,0.45,0.57,,,,,,,
Danny Striggow,JAX,DL,NE,0.06,0.06,,,,0.06,,,
David Walker,TB,LB,MIN,0.49,0.27,,,,0.05,,,
Landon Jackson,BUF,DL,LAC,0.43,0.31,,,,0.06,,,
Khalid Kareem,SF,DE,ARI,0.86,0.62,,,,0.06,,,
Joshua Josephs,WAS,DL,SEA,0.6,0.7,,,,0.05,,,
Cory Durden,NE,DT,JAX,0.44,0.55,,,,0.11,,,
Jose Ramirez,NE,DL,JAX,0.77,0.61,,,,0.06,,,
Derick Hall,SEA,DE,WAS,0.4,0.4,,,,0.06,,,
Jack Heflin,NYJ,DT,DET,0.05,0.11,,,,0.05,,,
Chauncey Golston,NYG,DE,TEN,0.75,0.54,,,,0.05,,,
Jordan Elliott,TEN,DT,NYG,0.56,0.67,,,0.05,0.1,,,
Charles Omenihu,WAS,DE,SEA,0.6,0.7,,,,0.05,,,
Dorance Armstrong,WAS,DE,SEA,0.6,0.7,,,,0.05,,,
Al-Quadin Muhammad,TB,DE,MIN,0.49,0.27,,,,0.05,,,
Bryan Thomas,JAX,DE,NE,0.06,0.06,,,,0.06,,,
Chaz Chambliss,MIN,DE,TB,0.61,0.72,,,,0.06,,,
Ty Hamilton,LAR,DT,DEN,0.17,0.17,,,,,,,
Tyler Baron,NYJ,DE,DET,0.05,0.11,,,,0.05,,,
Jack Sawyer,PIT,DL,CIN,0.9,0.8,,,,0.05,,,
Bo Richter,MIN,DE,TB,0.61,0.72,,,,0.06,,,
Keion White,SF,DL,ARI,0.49,0.68,,,,0.06,,,
Trevis Gipson,CAR,LB,CLE,0.39,0.62,,,,0.06,,,
Darrell Jackson,NYJ,DT,DET,0.05,0.11,,,,0.05,,,
TJ Parker,BUF,DE,LAC,0.43,0.31,,,,0.06,,,
Connor O'Toole,SEA,DE,WAS,0.4,0.4,,,,0.06,,,
Elijah Ponder,NE,DE,JAX,0.33,0.33,,,,0.06,,,
Josaiah Stewart,LAR,DE,DEN,0.57,1.13,,,,,,,
Omarr Norman-Lott,KC,DT,MIA,0.31,0.37,,,,0.06,,,
Javontae Jean-Baptiste,WAS,DL,SEA,0.6,0.7,,,,0.05,,,
Javon Solomon,BUF,DE,LAC,0.43,0.31,,,,0.06,,,
Andre Jones,MIA,DE,KC,0.36,0.26,,,,0.05,,,
Desjuan Johnson,LAR,DT,DEN,0.45,0.57,,,,,,,
James Houston,DAL,LB,BAL,0.7,0.76,,,,0.06,,,
Chris Rumph,NO,LB,LV,1.31,1.19,,,,0.06,,,
Baron Browning,ARI,LB,SF,1.12,1.39,,,,0.05,,,
Mike Danna,BUF,DE,LAC,0.43,0.31,,,,0.06,,,
Davon Godchaux,NO,DT,LV,1.01,0.91,,,,0.05,,,
Jonathan Bullard,DAL,DE,BAL,0.76,0.88,,,0.12,0.23,,,
Dante Fowler,SEA,LB,WAS,0.4,0.4,,,,0.06,,,
Ethan Burke,BAL,DE,DAL,0.74,0.87,,,,0.06,,,
Jack Pyburn,KC,DE,MIA,0.55,0.31,,,,0.06,,,
Bryson Eason,KC,DL,MIA,0.18,0.18,,,,0.06,,,
DeMonte Capehart,TB,DT,MIN,0.16,0.05,,,,0.05,,,
Domonique Orange,MIN,DT,TB,0.67,0.67,,,,0.11,,,
Cam Jackson,CAR,DT,CLE,0.06,0.17,,,,0.06,,,
Jowon Briggs,NYJ,DE,DET,0.05,0.11,,,,0.05,,,
Deatrich Wise,WAS,DE,SEA,0.6,0.7,,,,0.05,,,
LT Overton,DAL,DE,BAL,0.7,0.76,,,,0.06,,,
Nazir Stackhouse,TEN,DL,NYG,0.15,0.1,,,,0.05,,,
Jonah Elliss,DEN,DE,LAR,0.43,0.54,,,,0.05,,,
DeAngelo Malone,ATL,DL,GB,0.69,0.53,,,,0.05,,,
Jonathan Ford,GB,DL,ATL,0.17,0.11,,,,0.06,,,
Dani Dennis-Sutton,GB,DE,ATL,0.69,0.69,,,,0.06,,,
Jared Ivey,ATL,DE,GB,0.37,0.37,,,,0.05,,,
Cameron Thomas,ATL,DL,GB,0.69,0.53,,,,0.05,,,
DJ Herman,MIA,LB,KC,,,,,,,,,
Greg Rousseau,BUF,DE,LAC,1.86,1.11,0.71,,,0.74,0.31,0.06,
T.J. Watt,PIT,LB,CIN,1.33,1.22,0.48,0.05,0.37,0.69,0.16,0.11,
Tuli Tuipulotu,LAC,DL,BUF,1.76,0.72,0.62,,0.16,0.83,0.1,0.05,
Will Anderson,HOU,DL,IND,1.67,0.94,0.58,,0.11,0.94,0.11,0.06,
