player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Tyler Allgeier,ARI,RB,SF,7.03,,,,,,,,,8.74,33.27,0.19,3.33,1.4,1.52,9.06,0.05,0.91,0.04,,,,,,,
Chris Brooks,GB,RB,ATL,6.92,,,,,,,,,6.23,29.5,0.17,2.95,1.46,1.93,9.51,0.1,0.95,0.03,,,,,,,
Woody Marks,HOU,RB,IND,6.87,,,,,,,,,8.43,29.56,0.16,2.96,1.41,1.86,11.58,0.08,1.16,0.04,,,,,,,
Justice Hill,BAL,RB,DAL,6.83,,,,,,,,,3.11,15.33,0.13,1.53,2.06,2.37,17.97,0.12,1.8,0.02,,,,,,,
Keaton Mitchell,LAC,RB,BUF,6.77,,,,,,,,,5.66,32.65,0.2,3.26,1.2,1.52,8.67,0.05,0.87,0.03,,,,,,,
Rachaad White,WAS,RB,SEA,6.55,,,,,,,,,5.69,21.0,0.07,2.1,2.36,2.57,13.5,0.06,1.35,0.03,,,,,,,
Emanuel Wilson,SEA,RB,WAS,6.3,,,,,,,,,7.46,35.43,0.18,3.54,0.8,0.91,6.3,0.05,0.63,0.03,,,,,,,
J.K. Dobbins,DEN,RB,LAR,6.22,,,,,,,,,7.03,35.11,0.16,3.51,1.04,1.19,5.34,0.04,0.53,0.03,,,,,,,
Braelon Allen,NYJ,RB,DET,5.99,,,,,,,,,6.05,25.76,0.27,2.58,0.86,1.07,6.27,0.06,0.63,0.03,,,,,,,
Raheim Sanders,CLE,RB,CAR,5.99,,,,,,,,,5.14,20.31,0.12,2.03,1.65,1.96,11.24,0.09,1.12,0.03,,,,,,,
Kaelon Black,SF,RB,ARI,5.39,,,,,,,,,6.36,29.52,0.12,2.95,0.85,0.95,6.09,0.05,0.61,0.03,,,,,,,
George Holani,SEA,RB,WAS,5.22,,,,,,,,,4.21,18.02,0.13,1.8,1.15,1.52,10.32,0.08,1.03,0.02,,,,,,,
Samaje Perine,CIN,RB,PIT,5.2,,,,,,,,,4.64,16.89,0.13,1.69,1.44,1.63,10.07,0.05,1.01,0.02,,,,,,,
Devin Singletary,NYG,RB,TEN,5.09,,,,,,,,,5.87,23.38,0.19,2.34,0.79,0.88,5.93,0.04,0.59,0.03,,,,,,,
Emmett Johnson,KC,RB,MIA,4.82,,,,,,,,,3.16,13.48,0.13,1.35,1.16,1.33,10.5,0.08,1.05,0.02,,,,,,,
Chris Rodriguez,JAX,RB,NE,4.75,,,,,,,,,5.39,23.31,0.23,2.33,0.5,0.68,4.1,0.03,0.41,0.02,,,,,,,
Kaleb Johnson,GB,RB,ATL,4.52,,,,,,,,,5.74,21.68,0.15,2.17,0.67,0.97,4.92,0.05,0.49,0.03,,,,,,,
AJ Dillon,CAR,RB,CLE,4.46,,,,,,,,,5.64,22.57,0.14,2.26,0.68,0.78,4.25,0.04,0.42,,,,,,,,
Brian Robinson,ATL,RB,GB,4.33,,,,,,,,,5.58,21.41,0.13,2.14,0.68,0.86,4.93,0.04,0.49,0.02,,,,,,,
Tank Bigsby,PHI,RB,CHI,4.04,,,,,,,,,3.63,18.09,0.16,1.81,0.57,0.8,5.04,0.04,0.5,0.02,,,,,,,
DeeJay Dallas,MIN,RB,TB,3.91,,,,,,,,,2.49,10.52,0.07,1.05,1.24,1.37,7.94,0.07,0.79,0.01,,,,,,,
Emari Demercado,DAL,RB,BAL,3.88,,,,,,,,,3.21,17.62,0.09,1.76,0.81,1.02,5.87,0.03,0.59,0.02,,,,,,,
Najee Harris,NYG,RB,TEN,3.67,,,,,,,,,4.8,18.6,0.14,1.86,0.5,0.59,3.8,0.02,0.38,0.02,,,,,,,
Mike Washington,LV,RB,NO,3.15,,,,,,,,,3.48,13.47,0.07,1.35,0.63,0.97,4.99,0.04,0.5,0.02,,,,,,,
Ameer Abdullah,JAX,RB,NE,2.77,,,,,,,,,2.4,10.11,0.06,1.01,0.76,0.82,4.48,0.03,0.45,0.01,,,,,,,
Will Shipley,PHI,RB,CHI,2.57,,,,,,,,,1.76,5.91,0.04,0.59,0.84,1.01,6.29,0.04,0.63,0.01,,,,,,,
Demond Claiborne,MIN,RB,TB,2.54,,,,,,,,,2.68,9.89,0.08,0.99,0.53,0.61,3.67,0.03,0.37,0.01,,,,,,,
Isaiah Davis,NYJ,RB,DET,2.42,,,,,,,,,0.7,3.62,0.03,0.36,0.89,1.04,6.88,0.05,0.69,0.01,,,,,,,
Ray Davis,BUF,RB,LAC,2.4,,,,,,,,,3.14,14.42,0.07,1.44,0.24,0.29,2.09,0.02,0.21,0.01,,,,,,,
Ty Johnson,BUF,RB,LAC,2.22,,,,,,,,,1.9,7.69,0.06,0.77,0.48,0.64,3.95,0.04,0.39,0.01,,,,,,,
