player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Parker Baldwin,,SS,,,,,,,,,,
Bryce Callahan,,CB,,,,,,,,,,
Chris Johnson,,DB,,,,,,,,,,
Brandon Johnson,,DB,,,,,,,,,,
Eric Rowe,,DB,,,,,,,,,,
Luq Barcoo,,CB,,,,,,,,,,
Andre Chachere,,DB,,,,,,,,,,
Simeon Thomas,,CB,,,,,,,,,,
Lardarius Webb,BAL,DB,,,,,,,,,,
Dyshawn Gales,,CB,,,,,,,,,,
NaJee Thompson,,CB,,,,,,,,,,
Nick McCloud,CHI,CB,,,,,,,,,,
Ricardo Allen,CIN,DB,,,,,,,,,,
Jai'Onte' McMillan,,CB,,,,,,,,,,
Javaris Davis,,CB,,,,,,,,,,
Marqui Christian,,DB,,,,,,,,,,
Sheridan Jones,,CB,,,,,,,,,,
Wande Owens,,DB,,,,,,,,,,
Kalon Barnes,,DB,,,,,,,,,,
Sean Smith,,CB,,,,,,,,,,
Iman Marshall,,CB,,,,,,,,,,
Louis Moore,,DB,,,,,,,,,,
JoJo Tillery,,FS,,,,,,,,,,
Darius Phillips,,CB,,,,,,,,,,
Kaiir Elam,LAC,DB,,,,,,,,,,
Trajan Bandy,,CB,,,,,,,,,,
Christian Young,,DB,,,,,,,,,,
Cody Brown,,SS,,,,,,,,,,
Jimmie Ward,,DB,,,,,,,,,,
Lawrence White,,DB,,,,,,,,,,
Emmanuel Moseley,,CB,,,,,,,,,,
Corey Mayfield,,CB,,,,,,,,,,
Deon Bush,,DB,,,,,,,,,,
Elijah Shumate,,SS,,,,,,,,,,
B.T. Sanders,,SS,,,,,,,,,,
Rashard Fant,,CB,,,,,,,,,,
D'Angelo Ross,CLE,DB,,,,,,,,,,
Jalyn Phillips,,DB,,,,,,,,,,
Corrion Ballard,,S,,,,,,,,,,
Kendall Smith,,DB,,,,,,,,,,
Mark Gilbert,,CB,,,,,,,,,,
Josh Nurse,,DB,,,,,,,,,,
Javelin Guidry,,CB,,,,,,,,,,
Rodarius Williams,,CB,,,,,,,,,,
Tyreque Jones,,DB,,,,,,,,,,
Micah Abraham,,CB,,,,,,,,,,
Joshua Simmons,,CB,,,,,,,,,,
Chris Edwards,,DB,,,,,,,,,,
Andrew Williamson,,SS,,,,,,,,,,
VJ Payne,NYJ,DB,,,,,,,,,,
Desmond King,,DB,,,,,,,,,,
Ar'Darius Washington,NYG,DB,,,,,,,,,,
Ryan Reid,,CB,,,,,,,,,,
Kaleb Hayes,,CB,,,,,,,,,,
Benjie Franklin,,CB,,,,,,,,,,
Malcolm Elmore,,DB,,,,,,,,,,
Mercy Maston,,CB,,,,,,,,,,
Emmanuel Rugamba,,CB,,,,,,,,,,
Rashaad Reynolds,,CB,,,,,,,,,,
Bejour Wilson,,CB,,,,,,,,,,
Brynden Trawick,,FS,,,,,,,,,,
Tarvarius Moore,,DB,,,,,,,,,,
Cory Trice,,CB,,,,,,,,,,
Damarion Williams,,DB,,,,,,,,,,
Larry Worth,,DB,,,,,,,,,,
Jomon Dotson,,DB,,,,,,,,,,
Nate Hobbs,SF,CB,,,,,,,,,,
Terrell Bonds,,CB,,,,,,,,,,
Austin Brown,,DB,,,,,,,,,,
Marte Mapu,,DB,,,,,,,,,,
Dom Jones,,DB,,,,,,,,,,
Ryan Lewis,,CB,,,,,,,,,,
Eric Reid,,SS,,,,,,,,,,
Anthony Sao,,CB,,,,,,,,,,
JJ Roberts,TB,DB,,,,,,,,,,
Geno Stone,BUF,DB,,,,,,,,,,
Christian Uphoff,,DB,,,,,,,,,,
Marquis Wilson,,DB,,,,,,,,,,
Aaron Colvin,,CB,,,,,,,,,,
Corey Straughter,,CB,,,,,,,,,,
Kevon Seymour,,CB,,,,,,,,,,
DeAndre Baker,,CB,,,,,,,,,,
Bashaud Breeland,ARI,CB,,,,,,,,,,
Javin White,,LB,,,,,,,,,,
Samuel Womack,NYJ,CB,,,,,,,,,,
