player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Barion Brown,NO,WR,LV,1.54,,,,,,,,,,,,,0.6,0.94,6.28,0.05,0.63,0.0,,,,,,,
Jordan Watkins,SF,WR,ARI,1.53,,,,,,,,,,,,,0.59,0.85,6.6,0.05,0.66,,,,,,,,
Jordan Whittington,LAR,WR,DEN,1.52,,,,,,,,,0.07,0.3,0.0,0.03,0.65,1.01,6.35,0.03,0.64,0.0,,,,,,,
Ashton Dulin,IND,WR,HOU,1.39,,,,,,,,,0.1,0.61,0.0,0.06,0.47,0.93,6.14,0.04,0.61,0.0,,,,,,,
Konata Mumpfield,LAR,WR,DEN,1.36,,,,,,,,,,,,,0.56,1.35,5.5,0.04,0.55,0.0,,,,,,,
Marquez Valdes-Scantling,LAC,WR,BUF,1.3,,,,,,,,,,,,,0.45,1.06,6.3,0.04,0.63,0.0,,,,,,,
Efton Chism,NE,WR,JAX,1.26,,,,,,,,,,,,,0.45,0.64,5.95,0.03,0.6,0.0,,,,,,,
Cody White,LV,WR,NO,1.23,,,,,,,,,,,,,0.39,0.64,5.15,0.05,0.52,0.0,,,,,,,
Xavier Smith,LAR,WR,DEN,1.15,,,,,,,,,0.09,0.42,0.0,0.04,0.39,0.67,5.69,0.02,0.57,0.0,,,,,,,
Jared Wayne,HOU,WR,IND,1.09,,,,,,,,,,,,,0.43,0.65,5.0,0.03,0.5,,,,,,,,
Brycen Tremayne,CAR,WR,CLE,1.04,,,,,,,,,0.04,0.18,0.0,0.02,0.44,0.62,3.95,0.03,0.39,,,,,,,,
Malik Benson,LV,WR,NO,0.99,,,,,,,,,,,,,0.4,0.64,4.1,0.03,0.41,0.0,,,,,,,
