player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Nick Bolton,KC,LB,MIA,4.37,3.87,0.12,0.06,0.37,0.69,0.06,,
Josh Uche,MIA,LB,KC,0.97,0.51,0.26,,0.1,0.1,0.05,,
Jay Higgins,BAL,LB,DAL,0.74,0.86,,,,0.06,0.06,0.12,
Kayvon Thibodeaux,NYG,DL,TEN,0.87,0.87,0.25,,0.16,0.33,0.05,,
Payton Wilson,PIT,LB,CIN,2.85,2.05,0.1,0.05,0.15,0.25,,0.05,
Zaven Collins,ARI,LB,SF,1.2,0.7,0.2,,,0.25,,0.05,
Patrick Queen,PIT,LB,CIN,2.85,2.95,0.05,0.05,0.2,0.35,0.05,0.05,
John Franklin-Myers,TEN,DT,NYG,0.69,0.83,0.29,,,0.24,,,
Carson Schwesinger,CLE,LB,CAR,3.62,3.89,0.19,0.05,0.21,0.64,,,
Jaishawn Barham,DAL,LB,BAL,1.45,2.32,0.17,,,0.17,,0.06,
Trenton Simpson,BAL,LB,DAL,2.02,1.91,0.17,,0.12,0.23,,0.06,
Jadeveon Clowney,HOU,DE,IND,0.56,0.84,0.28,,,0.17,,,
Troy Dye,LAC,LB,BUF,2.21,1.66,0.11,0.06,0.22,0.28,0.06,,
Joshua Metellus,MIN,DB,TB,2.66,2.44,0.06,0.11,0.33,0.06,,,
Quincy Williams,CLE,LB,CAR,3.78,1.97,0.11,,0.32,0.53,0.05,0.05,
Harold Landry,NE,LB,JAX,1.48,0.93,0.27,,0.05,0.49,,,
Carson Bruener,PIT,LB,CIN,0.9,0.8,,,,0.05,0.16,0.05,
Joseph Ossai,NYJ,DE,DET,1.08,1.08,0.22,,0.05,0.32,0.05,,
Jeremy Chinn,LV,DB,NO,3.17,2.64,0.05,,0.22,0.16,0.11,0.05,
Tremaine Edmunds,NYG,LB,TEN,3.43,2.4,0.05,0.05,0.44,0.16,,0.05,
Akeem Davis-Gaither,IND,LB,HOU,2.77,2.67,,0.05,0.2,0.1,0.05,0.05,
Gabe Jacas,NE,DE,JAX,0.55,0.82,0.25,,,0.27,,,
Alex Anzalone,TB,LB,MIN,3.08,2.65,0.14,0.05,0.27,0.27,,,
Jordyn Brooks,MIA,LB,KC,3.8,3.7,0.1,,0.14,0.53,0.05,0.05,
Daiyan Henley,LAC,LB,BUF,3.43,2.54,0.11,0.06,0.28,0.33,,,
Azeez Al-Shaair,HOU,LB,IND,2.86,2.63,0.06,,0.34,0.17,0.06,0.06,
Blake Cashman,MIN,LB,TB,3.5,2.55,0.11,,0.17,0.28,,0.06,
SirVocea Dennis,TB,LB,MIN,0.49,0.27,,,,0.05,0.11,0.05,
Anthony Hill,TEN,LB,NYG,1.82,2.08,0.1,,0.1,0.1,,0.05,
Jermaine Johnson,TEN,LB,NYG,1.09,1.09,0.21,,0.1,0.31,,,
Ernest Jones,SEA,LB,WAS,3.42,3.36,0.03,0.06,0.34,0.17,0.06,,
Leo Chenal,WAS,LB,SEA,1.8,1.35,0.2,,0.1,0.3,,,
Anfernee Jennings,NO,LB,LV,1.48,1.02,0.09,,0.06,0.23,,0.06,
Frankie Luvu,WAS,LB,SEA,2.36,1.13,0.14,,0.14,0.24,0.05,,
Dorian Williams,BUF,LB,LAC,2.36,1.49,,,0.06,0.12,0.06,0.06,
Michael Hoecht,BUF,DT,LAC,1.37,0.75,0.19,,0.12,0.12,,,
Malcolm Rodriguez,DET,LB,NYJ,2.54,1.69,0.06,,,0.12,,0.06,
Jake Hummel,HOU,LB,IND,0.56,0.62,,,,0.06,0.06,0.06,
Wade Woodaz,HOU,LB,IND,0.56,0.62,,,,0.06,0.06,0.06,
Ivan Pace,MIN,LB,TB,0.61,0.72,,,,0.06,0.06,0.06,
Grant Stuard,LAR,LB,DEN,0.46,0.57,,,,,0.06,0.06,
Pete Werner,NO,LB,LV,2.55,1.48,0.06,,0.17,0.17,,0.06,
Alex Singleton,DEN,LB,LAR,3.36,3.63,,0.06,0.22,0.22,0.06,,
Shaun Dolac,LAR,LB,DEN,0.46,0.57,,,,,0.06,0.06,
Aiden Fisher,HOU,LB,IND,0.56,0.62,,,,0.06,0.06,0.06,
Justin Jefferson,CLE,LB,CAR,1.17,0.69,0.05,,0.11,0.16,,0.05,
Cody Lindenberg,LV,LB,NO,0.59,0.43,,,,0.05,0.05,0.05,
Demario Davis,NYJ,LB,DET,2.97,3.19,0.05,,0.11,0.32,,0.05,
Oren Burks,CIN,LB,PIT,1.22,1.17,,,0.05,0.11,0.05,0.05,
Tommy Eichenberg,LV,LB,NO,0.59,0.43,,,,0.05,0.05,0.05,
Namdi Obiazor,NE,LB,JAX,0.33,0.33,,,,0.05,0.05,0.05,
Dee Winters,DAL,LB,BAL,2.46,1.36,0.05,0.05,0.22,0.16,,,
Segun Olubi,LV,LB,NO,0.59,0.43,,,,0.05,0.05,0.05,
Christian Rozeboom,TB,LB,MIN,0.54,1.35,0.05,0.05,0.22,0.11,,,
Barrett Carter,CIN,LB,PIT,3.35,2.87,0.05,0.05,0.11,0.11,,,
Quay Walker,LV,LB,NO,3.28,3.17,0.16,,0.27,0.43,,,
Justin Strnad,DEN,LB,LAR,1.35,1.86,0.16,,0.16,0.31,,,
Eric Wilson,MIN,LB,TB,2.72,2.56,0.1,,,0.57,0.05,,
Derrick Barnes,DET,LB,NYJ,2.24,2.06,0.15,,0.12,0.3,,,
Cody Barton,TEN,LB,NYG,1.76,1.62,0.05,0.05,0.24,0.15,,,
Dre Greenlaw,SF,LB,ARI,1.73,1.6,0.09,,0.12,0.25,0.06,,
Bud Dupree,LAC,LB,BUF,0.55,0.39,0.14,,0.06,0.17,,,
Jaden Dugger,SF,LB,ARI,0.49,0.68,,,,0.06,,0.06,
Luke Gifford,SF,LB,ARI,0.49,0.68,,,,0.06,,0.06,
Tatum Bethune,SF,LB,ARI,2.04,2.16,0.06,,0.12,0.12,0.06,,
Garret Wallow,SF,LB,ARI,0.49,0.68,,,,0.06,,0.06,
Jahlani Tavai,JAX,LB,NE,1.62,1.5,0.06,,0.12,0.29,0.06,,
Shemar James,DAL,LB,BAL,1.8,1.91,0.12,,,0.06,,,
Smael Mondon,PHI,LB,CHI,0.79,0.62,,,,0.06,,0.06,
Jeremiah Trotter,PHI,LB,CHI,0.79,0.62,,,,0.06,,0.06,
Cole Holcomb,PIT,LB,CIN,1.27,0.69,0.05,,0.11,0.11,0.05,,
Cody Simon,ARI,LB,SF,1.65,1.33,0.05,,0.16,0.05,0.05,,
Jack Gibbens,ARI,LB,SF,2.18,1.86,0.05,,0.27,0.16,0.05,,
Danny Stutsman,NO,LB,LV,1.6,1.55,0.05,,0.05,0.05,0.05,,
Myles Murphy,CIN,DL,PIT,0.53,0.53,0.11,,0.05,0.11,,,
Christian Elliss,NE,LB,JAX,2.19,2.08,0.05,,0.16,0.05,0.05,,
Jake Golday,MIN,LB,TB,1.55,1.28,,,0.06,0.11,,0.06,
