player_id,first_name,last_name,team,pos,gp,gs,off_snp,tm_off_snp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sack,rush_att,rush_yd,rush_td,rec,rec_tgt,rec_yd,rec_td,rec_air_yd,rec_rz_tgt,fum_lost,pass_2pt,rush_2pt,rec_2pt,rec_fd,rush_fd,pass_fd,fgm,fga,xpm,xpa,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,pts_allow,sack,int,fum_rec,def_td,safe,blk_kick,pts_ppr,pts_std
11577,Will,Shipley,PHI,RB,1.0,,39.0,76.0,,,,,,,7.0,24.0,,2.0,2.0,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.9,2.9
8208,Tyler,Badie,DEN,RB,1.0,,16.0,62.0,,,,,,,1.0,1.0,,2.0,3.0,28.0,,-4.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,4.9,2.9
7567,Kenny,Gainwell,TB,RB,1.0,,23.0,65.0,,,,,,,2.0,10.0,,3.0,4.0,5.0,,-20.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,4.5,1.5
5892,David,Montgomery,HOU,RB,1.0,1.0,42.0,80.0,,,,,,,6.0,10.0,,2.0,2.0,14.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,4.4,2.4
8132,Tyler,Allgeier,ARI,RB,1.0,1.0,32.0,50.0,,,,,,,5.0,10.0,,2.0,2.0,9.0,,-3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,3.9,1.9
5995,Justice,Hill,BAL,RB,1.0,,27.0,58.0,,,,,,,2.0,6.0,,2.0,2.0,12.0,,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,3.8,1.8
7611,Rhamondre,Stevenson,NE,RB,1.0,1.0,20.0,55.0,,,,,,,6.0,43.0,,1.0,2.0,3.0,,-2.0,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,3.6,2.6
11370,Chris,Brooks,GB,RB,1.0,,27.0,59.0,,,,,,,4.0,11.0,,1.0,2.0,15.0,,-4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.6,2.6
6806,J.K.,Dobbins,DEN,RB,1.0,1.0,21.0,62.0,,,,,,,10.0,36.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.6,3.6
12504,Kaleb,Johnson,GB,RB,1.0,,16.0,59.0,,,,,,,8.0,32.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.2,3.2
4147,Samaje,Perine,CIN,RB,1.0,,24.0,60.0,,,,,,,2.0,6.0,,1.0,1.0,16.0,,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.2,2.2
4866,Saquon,Barkley,PHI,RB,1.0,1.0,12.0,76.0,,,,,,,4.0,9.0,,1.0,2.0,11.0,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,2.0
6931,DeeJay,Dallas,MIN,RB,1.0,,8.0,52.0,,,,,,,2.0,8.0,,1.0,1.0,12.0,,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0
11729,Sione,Vaki,DET,RB,1.0,,11.0,65.0,,,,,,,1.0,7.0,,1.0,1.0,13.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0
12048,George,Holani,SEA,RB,1.0,,18.0,70.0,,,,,,,4.0,13.0,,1.0,1.0,2.0,,-4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.5
