player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Ulysees Gilbert,,LB,,,,,,,,,,
Vontae Diggs,,OLB,,,,,,,,,,
Chris Collins,,LB,,,,,,,,,,
Ty Summers,,LB,,,,,,,,,,
Robert McCray,,DE,,,,,,,,,,
Keandre Jones,,LB,,,,,,,,,,
Cassanova McKinzy,,OLB,,,,,,,,,,
Kennan Gilchrist,,OLB,,,,,,,,,,
Willie Taylor,,LB,,,,,,,,,,
Donovan Manuel,,LB,,,,,,,,,,
Shaan Washington,,ILB,,,,,,,,,,
Sean Brown,,LB,,,,,,,,,,
Ryan Anderson,,LB,,,,,,,,,,
Anthony Butler,,LB,,,,,,,,,,
Christian Tago,,OLB,,,,,,,,,,
Chris Chukwuneke,,LB,,,,,,,,,,
Daniel Bituli,,LB,,,,,,,,,,
Carroll Phillips,,DE,,,,,,,,,,
Cole Farrand,,OLB,,,,,,,,,,
Marist Liufau,DAL,LB,,,,,,,,,,
Mani Powell,,LB,,,,,,,,,,
Josh Pearcy,,LB,,,,,,,,,,
Mikel Jones,,LB,,,,,,,,,,
Isaiah Irving,,LB,,,,,,,,,,
Hamilcar Rashed,,DE,,,,,,,,,,
Naashon Hughes,,ILB,,,,,,,,,,
Derrek Tuszka,,LB,,,,,,,,,,
Brett Taylor,,LB,,,,,,,,,,
Chuck Wiley,,LB,,,,,,,,,,
Ben Boulware,,ILB,,,,,,,,,,
Nate Harvey,,ILB,,,,,,,,,,
Nick Martin,SF,LB,,,,,,,,,,
Mason McKenrick,,LB,,,,,,,,,,
Isaiah Major,,LB,,,,,,,,,,
Damon Lloyd,,LB,,,,,,,,,,
Justin Phillips,,LB,,,,,,,,,,
E.J. Ejiya,,OLB,,,,,,,,,,
John McCartan,,LB,,,,,,,,,,
Davis Tull,,OLB,,,,,,,,,,
Luke Kuechly,,LB,,,,,,,,,,
Wilson Huber,,LB,,,,,,,,,,
Dakorey Johnson,,OLB,,,,,,,,,,
Nikhai Hill-Green,,LB,,,,,,,,,,
Alex Scearce,,OLB,,,,,,,,,,
Willie Harvey,,LB,,,,,,,,,,
Troy Brown,,LB,,,,,,,,,,
Chad Muma,,LB,,,,,,,,,,
Jonathan Walton,,OLB,,,,,,,,,,
Kyle Emanuel,,LB,,,,,,,,,,
Jacob Pugh,,OLB,,,,,,,,,,
Farrington Huguenin,,OLB,,,,,,,,,,
Danny Abraham,,LB,,,,,,,,,,
Micah Awe,,ILB,,,,,,,,,,
Sam Acho,,LB,,,,,,,,,,
Michael Pinckney,,LB,,,,,,,,,,
Jermaine Grace,,LB,,,,,,,,,,
Michael Onuoha,,OLB,,,,,,,,,,
Jarvis Miller,,LB,,,,,,,,,,
Malik Jackson,CLE,DT,,,,,,,,,,
Dominique Ross,,LB,,,,,,,,,,
Ace Eley,,LB,,,,,,,,,,
Ryan Smenda,,LB,,,,,,,,,,
Bryson Young,,LB,,,,,,,,,,
Chris Braswell,HOU,LB,,,,,,,,,,
