player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Oluwole Betiku,,DE,,,,,,,,,,
Jarrod Hewitt,,DT,,,,,,,,,,
Fadol Brown,,DE,,,,,,,,,,
Michael Dogbe,,DE,,,,,,,,,,
Marcus Davenport,CHI,DE,,,,,,,,,,
Isaiah Raikes,,DL,,,,,,,,,,
Francis Kallon,,DE,,,,,,,,,,
Reggie Gilbert,,LB,,,,,,,,,,
Ochaun Mathis,,DE,,,,,,,,,,
Quayshawne Buckley,,DT,,,,,,,,,,
La'Darius Hamilton,,LB,,,,,,,,,,
Quindarius Thagard,,DT,,,,,,,,,,
Ja'Markis Weston,,DE,,,,,,,,,,
Ryan Bee,ARI,DE,,,,,,,,,,
Dontari Poe,,DT,,,,,,,,,,
Gable Steveson,,DT,,,,,,,,,,
Yannick Ngakoue,,DE,,,,,,,,,,
Zxavian Harris,,DL,,,,,,,,,,
Jamie Meder,,DT,,,,,,,,,,
Wyatt Hubert,,DE,,,,,,,,,,
Keith Randolph,,DL,,,,,,,,,,
Philip Ossai,,DL,,,,,,,,,,
K.J. Henry,,DE,,,,,,,,,,
Tarell Basham,,DE,,,,,,,,,,
Austin Faoliu,,DT,,,,,,,,,,
Claudy Mathieu,,DL,,,,,,,,,,
Adam Reth,,DE,,,,,,,,,,
Nadame Tucker,CLE,DE,,,,,,,,,,
Tuli Letuligasenoa,,DL,,,,,,,,,,
David Onyemata,NYJ,DT,,,,,,,,,,
Chase Winovich,,DE,,,,,,,,,,
Mario Kendricks,,DL,,,,,,,,,,
Raequan Williams,,DT,,,,,,,,,,
Bryan Mone,,DT,,,,,,,,,,
Smith Vilbert,,DL,,,,,,,,,,
Charles Harris,,LB,,,,,,,,,,
Da'Sean Downey,,DE,,,,,,,,,,
Daniel Joseph,,DE,,,,,,,,,,
Christian Wilkins,,DT,,,,,,,,,,
Deondre Barnett,,DE,,,,,,,,,,
Cameron Sample,,DE,,,,,,,,,,
Carlif Taylor,,DT,,,,,,,,,,
Demetrius Cherry,,DE,,,,,,,,,,
Nash Hutmacher,,DT,,,,,,,,,,
Kyle Peko,,DT,,,,,,,,,,
