player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Lashard Durr,,CB,,,,,,,,,,
Tre Norwood,,DB,,,,,,,,,,
Elijah Jones,,DB,,,,,,,,,,
Tarvarus McFadden,,CB,,,,,,,,,,
Jack Henderson,,DB,,,,,,,,,,
Donovan Wilson,,DB,,,,,,,,,,
Rob Carter,,CB,,,,,,,,,,
Mark Barron,,LB,,,,,,,,,,
Tanner Muse,,LB,,,,,,,,,,
Dontrell Nelson,,CB,,,,,,,,,,
Aaron Robinson,,CB,,,,,,,,,,
Kyle Fuller,,CB,,,,,,,,,,
Irshaad Davis,,CB,,,,,,,,,,
Josh Okonye,,CB,,,,,,,,,,
Bennett Okotcha,,CB,,,,,,,,,,
Bryan Mills,MIN,CB,,,,,,,,,,
Dallis Flowers,,CB,,,,,,,,,,
Larry Hope,,CB,,,,,,,,,,
Qwynnterrio Cole,,DB,,,,,,,,,,
Logan Ryan,,DB,,,,,,,,,,
Kevin Short,,CB,,,,,,,,,,
Trill Williams,,CB,,,,,,,,,,
Devan Boykin,,DB,,,,,,,,,,
Travis Reed,,CB,,,,,,,,,,
Kary Vincent,,CB,,,,,,,,,,
Cole Wisniewski,PHI,DB,,,,,,,,,,
Dre Kirkpatrick,,CB,,,,,,,,,,
Tony Grimes,,DB,,,,,,,,,,
Casey Hayward,,CB,,,,,,,,,,
Santos Ramirez,,FS,,,,,,,,,,
Marcus Williams,,DB,,,,,,,,,,
Isaiah Oliver,TEN,CB,,,,,,,,,,
Benny Sapp,,DB,,,,,,,,,,
Ray Wilborn,,LB,,,,,,,,,,
Deante Burton,,CB,,,,,,,,,,
K'Waun Williams,,CB,,,,,,,,,,
Tre Tomlinson,,CB,,,,,,,,,,
Cole Luke,,CB,,,,,,,,,,
Terell Smith,WAS,DB,,,,,,,,,,
Buster Skrine,,DB,,,,,,,,,,
Clay Fields,,CB,,,,,,,,,,
Geno Matias-Smith,,SS,,,,,,,,,,
Tyron Herring,,CB,,,,,,,,,,
Natrell Jamerson,LV,DB,,,,,,,,,,
La'Kendrick Van Zandt,,DB,,,,,,,,,,
Beanie Bishop,,CB,,,,,,,,,,
Johnson Bademosi,,CB,,,,,,,,,,
Trey Marshall,,DB,,,,,,,,,,
Tyler Horton,,DB,,,,,,,,,,
Elijah Culp,,CB,,,,,,,,,,
Dane Jackson,,CB,,,,,,,,,,
Bralyn Lux,CIN,DB,,,,,,,,,,
Rashad Fenton,,CB,,,,,,,,,,
Trey Johnson,,CB,,,,,,,,,,
Chelen Garnes,,DB,,,,,,,,,,
Morrell Osling,,DB,,,,,,,,,,
Greg Mabin,,CB,,,,,,,,,,
Marquise Blair,,DB,,,,,,,,,,
Josh Robinson,,CB,,,,,,,,,,
Bilhal Kone,BAL,CB,,,,,,,,,,
Shalom Luani,,SS,,,,,,,,,,
Mike Basile,,S,,,,,,,,,,
Aashari Crosswell,,DB,,,,,,,,,,
Cam Miller,,CB,,,,,,,,,,
Shyheim Carter,,DB,,,,,,,,,,
D'Cota Dixon,,FS,,,,,,,,,,
Lorenzo Burns,,CB,,,,,,,,,,
Brandon Rusnak,,CB,,,,,,,,,,
Cleveland Wallace,,CB,,,,,,,,,,
Jameson Houston,,CB,,,,,,,,,,
Sean Mahone,,DB,,,,,,,,,,
Kemal Ishmael,,SS,,,,,,,,,,
