player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Anthony Moten,,DL,,,,,,,,,,
Bill Murray,LAR,DT,,,,,,,,,,
Warren Herring,,DT,,,,,,,,,,
Kendall Coleman,,DE,,,,,,,,,,
Nile Lawrence-Stample,,NT,,,,,,,,,,
Donovan Jeter,,DT,,,,,,,,,,
Terry Webb,LAC,DL,,,,,,,,,,
Shaquil Barrett,,LB,,,,,,,,,,
CJ Nunnally,,DE,,,,,,,,,,
Paris Shand,,DE,,,,,,,,,,
Sheldon Day,,DT,,,,,,,,,,
Andrew Trumbetti,,DE,,,,,,,,,,
Jaylon Hutchings,,DT,,,,,,,,,,
Carl Lawson,,DE,,,,,,,,,,
Dalton Keene,,DE,,,,,,,,,,
William Gholston,,DE,,,,,,,,,,
McKinley Williams,,DT,,,,,,,,,,
Trey Dishon,,DT,,,,,,,,,,
Casey Rogers,,DL,,,,,,,,,,
Ifeadi Odenigbo,,DE,,,,,,,,,,
Treven Ma'ae,,DL,,,,,,,,,,
Forrest Merrill,,DT,,,,,,,,,,
Justin Alexandre,,DL,,,,,,,,,,
Desmond Little,,DE,,,,,,,,,,
Jay Person,,DE,,,,,,,,,,
Robert Windsor,IND,DT,,,,,,,,,,
Ryder Anderson,,DE,,,,,,,,,,
Alex Jenkins,,DE,,,,,,,,,,
Tyquan Lewis,,DE,,,,,,,,,,
Geno Atkins,,DT,,,,,,,,,,
Chandler Jones,,LB,,,,,,,,,,
Tyree Johnson,,DL,,,,,,,,,,
Xavier Kelly,,DT,,,,,,,,,,
Tyler Manoa,,DL,,,,,,,,,,
T.Y. McGill,,DT,,,,,,,,,,
A.J. Jefferson,,DE,,,,,,,,,,
Jeremy Faulk,,DT,,,,,,,,,,
Adedayo Odeleye,DAL,DE,,,,,,,,,,
Leterrius Walton,,DE,,,,,,,,,,
Tueni Lupeamanu,,DT,,,,,,,,,,
Hunter Peck,,DE,,,,,,,,,,
Eddie Goldman,,DT,,,,,,,,,,
Pat O'Connor,,DE,,,,,,,,,,
Trevon Mason,,DT,,,,,,,,,,
Mohamed Kamara,TB,DL,,,,,,,,,,
Mason Gentry,,G,,,,,,,,,,
Dashaun Mallory,,DT,,,,,,,,,,
Ron Stone,,DE,,,,,,,,,,
Tyshun Render,,DE,,,,,,,,,,
Chuck Wiley,,DE,,,,,,,,,,
Cavon Walker,,DT,,,,,,,,,,
Justin Rogers,,DL,,,,,,,,,,
Jordan Strachan,,DE,,,,,,,,,,
T.J. Sanders,BUF,DL,,,,,,,,,,
Sunny Anderson,,DE,,,,,,,,,,
Jasheen Davis,,DE,,,,,,,,,,
Anthony Zettel,,DE,,,,,,,,,,
Tanzel Smart,,DT,,,,,,,,,,
Big Kat Bryant,,DE,,,,,,,,,,
Devaunte Sigler,,DT,,,,,,,,,,
C.J. Robbins,,DE,,,,,,,,,,
Derek Wolfe,,DE,,,,,,,,,,
Tyrell Chavis,,NT,,,,,,,,,,
Noah Spence,,DE,,,,,,,,,,
Jalen McLeod,JAX,DE,,,,,,,,,,
Leonard Payne,,DT,,,,,,,,,,
Everson Griffen,,DE,,,,,,,,,,
D'Anthony Jones,,DL,,,,,,,,,,
Kelvin Gilliam,DAL,DT,,,,,,,,,,
Kiante Anderson,,DE,,,,,,,,,,
Marquis Haynes,,DE,,,,,,,,,,
Dante Sawyer,,DE,,,,,,,,,,
Jonathan Woodard,,DE,,,,,,,,,,
Thomas Booker,LV,DL,,,,,,,,,,
Bryce Huff,,DE,,,,,,,,,,
Zach Morton,,DL,,,,,,,,,,
Cory Johnson,,NT,,,,,,,,,,
James Pearce,ATL,DL,,,,,,,,,,
Quinton Bohanna,,DT,,,,,,,,,,
Bravvion Roy,,DT,,,,,,,,,,
Raymond Vohasek,,DT,,,,,,,,,,
Kenneth Odumegwu,,DL,,,,,,,,,,
Tariqious Tisdale,,DT,,,,,,,,,,
Ross Blacklock,,DT,,,,,,,,,,
Dalvin Tomlinson,LAC,DT,,,,,,,,,,
Doug Costin,,DT,,,,,,,,,,
Uar Bernard,PHI,DT,,,,,,,,,,
