player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Robert Alford,,CB,,,,,,,,,,
Kevin Johnson,,CB,,,,,,,,,,
Darious Williams,,CB,,,,,,,,,,
William Wright,,DB,,,,,,,,,,
Keonte Lusk,,CB,,,,,,,,,,
Shemar Jean-Charles,,CB,,,,,,,,,,
Maceo Beard,MIN,DB,,,,,,,,,,
Marquise Robinson,,DB,,,,,,,,,,
Yusuf Corker,,DB,,,,,,,,,,
Debione Renfro,,CB,,,,,,,,,,
Nick Grant,,CB,,,,,,,,,,
Zion Childress,CAR,DB,,,,,,,,,,
Maximus Pulley,PHI,DB,,,,,,,,,,
Devin Jones,,CB,,,,,,,,,,
Luther Kirk,,DB,,,,,,,,,,
Marcelis Branch,,SS,,,,,,,,,,
Jahleel Addae,,DB,,,,,,,,,,
Garnett Hollis,,CB,,,,,,,,,,
Brandon Crossley,,CB,,,,,,,,,,
Tyson Russell,,CB,,,,,,,,,,
K'Von Wallace,BAL,DB,,,,,,,,,,
Jaylen Watkins,,SS,,,,,,,,,,
Chris Roland-Wallace,KC,CB,,,,,,,,,,
Kobee Minor,,DB,,,,,,,,,,
Bryce Hall,HOU,CB,,,,,,,,,,
Emany Johnson,,DB,,,,,,,,,,
Chris Steele,,DB,,,,,,,,,,
William Likely,,CB,,,,,,,,,,
Bryce Jones,,CB,,,,,,,,,,
Deron Washington,,FS,,,,,,,,,,
Bubba Bolden,,DB,,,,,,,,,,
Jordan Washington,,CB,,,,,,,,,,
Anthony Averett,,DB,,,,,,,,,,
Cameron Dantzler,,CB,,,,,,,,,,
Terrish Webb,,FS,,,,,,,,,,
Christian Matthew,,DB,,,,,,,,,,
Tre Avery,,CB,,,,,,,,,,
Shakial Taylor,,CB,,,,,,,,,,
Malcolm Jenkins,NO,SS,,,,,,,,,,
Coby Bryant,CHI,DB,,,,,,,,,,
Armagedon Draughn,,FS,,,,,,,,,,
Darrious Gaines,,CB,,,,,,,,,,
Jacobe Covington,,CB,,,,,,,,,,
William Jackson,,CB,,,,,,,,,,
Dean Clark,NYJ,DB,,,,,,,,,,
Latrell McCutchin,,DB,,,,,,,,,,
Juante Baldwin,,CB,,,,,,,,,,
Johnathan Edwards,IND,DB,,,,,,,,,,
Te'Cory Couch,BUF,CB,,,,,,,,,,
Andrew Adams,,DB,,,,,,,,,,
Tyrice Beverette,,FS,,,,,,,,,,
O'Donnell Fortune,,CB,,,,,,,,,,
Keith Washington,,DB,,,,,,,,,,
Dayan Lake,LAR,DB,,,,,,,,,,
Shaun Crawford,,CB,,,,,,,,,,
Travin Howard,,LB,,,,,,,,,,
Lonnie Johnson,,DB,,,,,,,,,,
Cameron Kinley,,CB,,,,,,,,,,
Secdrick Cooper,,S,,,,,,,,,,
Art Green,ARI,CB,,,,,,,,,,
Darius White,,CB,,,,,,,,,,
AJ Parker,,CB,,,,,,,,,,
Don Chapman,,DB,,,,,,,,,,
Jimmy Pruitt,,CB,,,,,,,,,,
Prince Smith,,DB,,,,,,,,,,
Chris Moore,,DB,,,,,,,,,,
Raheem Layne,NYG,DB,,,,,,,,,,
Mark Milton,,CB,,,,,,,,,,
Reddy Steward,DAL,CB,,,,,,,,,,
Byron Jones,,CB,,,,,,,,,,
Marcus Allen,MIN,CB,,,,,,,,,,
Abraham Wallace,,FS,,,,,,,,,,
Trey Vaval,,CB,,,,,,,,,,
Zedrick Woods,,FS,,,,,,,,,,
Jahari Rogers,,DB,,,,,,,,,,
Tre Herndon,,CB,,,,,,,,,,
Troy Hill,,CB,,,,,,,,,,
Erik Harris,,DB,,,,,,,,,,
Jayron Kearse,,DB,,,,,,,,,,
Chris Harris,,CB,,,,,,,,,,
V'Angelo Bentley,,CB,,,,,,,,,,
Montrae Braswell,,CB,,,,,,,,,,
Omar Brown,,CB,,,,,,,,,,
Randall Jette,,CB,,,,,,,,,,
Ferrod Gardner,,DB,,,,,,,,,,
C.J. Coldon,,CB,,,,,,,,,,
Jordan Dunbar,,CB,,,,,,,,,,
D'Arco Perkins-McAllister,KC,CB,,,,,,,,,,
Marcus McWilson,,FS,,,,,,,,,,
Millard Bradford,,DB,,,,,,,,,,
Marcel Dabo,,DB,,,,,,,,,,
Anthony Cook,,DB,,,,,,,,,,
Duce Chestnut,,DB,,,,,,,,,,
Prince Amukamara,,DB,,,,,,,,,,
Montrel Meander,,LB,,,,,,,,,,
Michael Tutsie,,DB,,,,,,,,,,
Blake Countess,,DB,,,,,,,,,,
Isas Waxter,LAC,DB,,,,,,,,,,
Rolan Milligan,IND,DB,,,,,,,,,,
Andre Fuller,SEA,CB,,,,,,,,,,
Kyu Blu Kelly,,CB,,,,,,,,,,
Nico Bolden,,DB,,,,,,,,,,
Chandler Rivers,BAL,CB,,,,,,,,,,
Linden Stephens,,DB,,,,,,,,,,
Gordon Hill,,S,,,,,,,,,,
Jeremy Lucien,,CB,,,,,,,,,,
Kevin White,,CB,,,,,,,,,,
Lafayette Pitts,,DB,,,,,,,,,,
JR Pace,,DB,,,,,,,,,,
Nevelle Clarke,,CB,,,,,,,,,,
Lorenzo Styles,NO,DB,,,,,,,,,,
Nick Whiteside,DET,CB,,,,,,,,,,
Keydrain Calligan,,DB,,,,,,,,,,
Mazzi Wilkins,BAL,DB,,,,,,,,,,
John Pupel,,DB,,,,,,,,,,
Justin Layne,,CB,,,,,,,,,,
Kacy Rodgers,,SS,,,,,,,,,,
Terrence Brooks,,DB,,,,,,,,,,
Marlon Jones,GB,CB,,,,,,,,,,
Isiah Swann,,CB,,,,,,,,,,
LaMareon James,,CB,,,,,,,,,,
Jaylon Jones,,CB,,,,,,,,,,
Tanner Wall,,DB,,,,,,,,,,
Saquan Hampton,,DB,,,,,,,,,,
KJ Sails,,DB,,,,,,,,,,
Nickell Robey-Coleman,,CB,,,,,,,,,,
Eric Butler,,DB,,,,,,,,,,
Imoan Claiborne,,CB,,,,,,,,,,
Isaiah Langley,,DB,,,,,,,,,,
Mike Jones,,CB,,,,,,,,,,
Tre Tarpley,,DB,,,,,,,,,,
Joshua Moon,,SS,,,,,,,,,,
Jeremiah McClendon,,CB,,,,,,,,,,
John Humphrey,,CB,,,,,,,,,,
Eric Scott,,DB,,,,,,,,,,
Evan Worthington,,SS,,,,,,,,,,
Keanu Neal,,LB,,,,,,,,,,
Jason Verrett,,CB,,,,,,,,,,
Tenny Adewusi,,CB,,,,,,,,,,
Sherrick McManis,,DB,,,,,,,,,,
Tre Brown,NYJ,CB,,,,,,,,,,
Parnell Motley,,CB,,,,,,,,,,
Amari Henderson,MIN,CB,,,,,,,,,,
Damontae Kazee,,DB,,,,,,,,,,
Eric Rawls,,CB,,,,,,,,,,
Josh Turner,,DB,,,,,,,,,,
Ugo Amadi,,DB,,,,,,,,,,
Ian Kennelly,,DB,,,,,,,,,,
Daniel Gray,,CB,,,,,,,,,,
Jovante Moffatt,,DB,,,,,,,,,,
Cam Smith,,DB,,,,,,,,,,
Darnell Savage,,DB,,,,,,,,,,
Zion Puckett,,DB,,,,,,,,,,
Chris Westry,,CB,,,,,,,,,,
Marlon Character,,DB,,,,,,,,,,
Isaac Gifford,,DB,,,,,,,,,,
Tyler Richardson,,CB,,,,,,,,,,
Rodney Randle,,CB,,,,,,,,,,
Damarius Travis,,SS,,,,,,,,,,
Bookie Radley-Hiles,,DB,,,,,,,,,,
Mello Dotson,,CB,,,,,,,,,,
JB Brown,,CB,,,,,,,,,,
Troy Pride,,CB,,,,,,,,,,
Gavin Holmes,,CB,,,,,,,,,,
Jordan Perryman,,CB,,,,,,,,,,
TJ Morrison,,CB,,,,,,,,,,
Marcus Sherels,,CB,,,,,,,,,,
Josh Jones,,DB,,,,,,,,,,
Kendarin Ray,,DB,,,,,,,,,,
Anthony Averett,,CB,,,,,,,,,,
