player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Bryce Gallagher,,LB,,,,,,,,,,
Tyler Murray,,LB,,,,,,,,,,
Nick Kubitz,,LB,,,,,,,,,,
Trey Moore,MIA,LB,,,,,,,,,,
Melvin Ingram,,LB,,,,,,,,,,
Jamir Jones,,LB,,,,,,,,,,
Jeff Allison,,ILB,,,,,,,,,,
Tanner Vallejo,,LB,,,,,,,,,,
Caden Fordham,TB,LB,,,,,,,,,,
Kendall Futrell,,DE,,,,,,,,,,
Greer Martini,,OLB,,,,,,,,,,
Thomas Rush,,LB,,,,,,,,,,
DQ Thomas,,LB,,,,,,,,,,
Scooby Williams,,LB,,,,,,,,,,
Xavier Carlton,,LB,,,,,,,,,,
Marcelino McCrary-Ball,NYJ,LB,,,,,,,,,,
K.J. Britt,NE,LB,,,,,,,,,,
Ellis Brooks,,LB,,,,,,,,,,
Jason Ferris,,LB,,,,,,,,,,
Barkevious Mingo,,LB,,,,,,,,,,
Vic Beasley,,DE,,,,,,,,,,
Channing Tindall,,LB,,,,,,,,,,
Deion Jones,,LB,,,,,,,,,,
Demetrius Flannigan-Fowles,,LB,,,,,,,,,,
David Reese,,LB,,,,,,,,,,
Azur Kamara,,DE,,,,,,,,,,
Jamar Watson,,LB,,,,,,,,,,
Derrick Moncrief,,LB,,,,,,,,,,
Haason Reddick,,LB,,,,,,,,,,
Keshaun Malone,,ILB,,,,,,,,,,
Isaiah Moore,,LB,,,,,,,,,,
Troy Andersen,,LB,,,,,,,,,,
Paul Moala,,LB,,,,,,,,,,
Josh Bynes,,LB,,,,,,,,,,
Joe Walker,,LB,,,,,,,,,,
Ladell Fleming,,LB,,,,,,,,,,
Jordan DeWalt-Ondijo,,OLB,,,,,,,,,,
Vi Jones,,LB,,,,,,,,,,
Ryan Langford,,ILB,,,,,,,,,,
Jason Fanaika,,OLB,,,,,,,,,,
Darryl Johnson,,DE,,,,,,,,,,
Jacob Lindsey,,OLB,,,,,,,,,,
Andrew Motuapuaka,,ILB,,,,,,,,,,
Elijah Zeise,,LB,,,,,,,,,,
Donald Rutledge,ARI,LB,,,,,,,,,,
Elijah Sullivan,,LB,,,,,,,,,,
Jordan Evans,CIN,LB,,,,,,,,,,
Cameron Goode,,LB,,,,,,,,,,
Josh Letuligasenoa,,LB,,,,,,,,,,
Junior Sylvestre,,ILB,,,,,,,,,,
Arden Walker,,LB,,,,,,,,,,
Hamsah Nasirildeen,,LB,,,,,,,,,,
Kevin Pierre-Louis,,LB,,,,,,,,,,
Brandon Wellington,,LB,,,,,,,,,,
Brandon Smith,,LB,,,,,,,,,,
Kylan Guidry,,LB,,,,,,,,,,
Malcolm Smith,,LB,,,,,,,,,,
Davin Bellamy,,LB,,,,,,,,,,
Luke Rhodes,IND,LS,,,,,,,,,,
Tony Fields,CHI,LB,,,,,,,,,,
Dont'a Hightower,,LB,,,,,,,,,,
Jon Bostic,,LB,,,,,,,,,,
Jalyx Hunt,PHI,DL,,,,,,,,,,
Mark Nzeocha,,LB,,,,,,,,,,
Jake Chaney,,LB,,,,,,,,,,
Adrian Phillips,,DB,,,,,,,,,,
Lance Dixon,,LB,,,,,,,,,,
Samson Ebukam,ATL,DE,,,,,,,,,,
Marcus Allen,,LB,,,,,,,,,,
Andre Smith,,LB,,,,,,,,,,
Luke Masterson,,LB,,,,,,,,,,
Jamie Sheriff,LAR,LB,,,,,,,,,,
Genard Avery,,LB,,,,,,,,,,
Tre Lamar,,ILB,,,,,,,,,,
Drew Sanders,,LB,,,,,,,,,,
Ronnie Perkins,,LB,,,,,,,,,,
Yvandy Rigby,,LB,,,,,,,,,,
Khalil Jacobs,NE,LB,,,,,,,,,,
J.J. Russell,,LB,,,,,,,,,,
Kenneth Olugbode,,ILB,,,,,,,,,,
Michael Caputo,,OLB,,,,,,,,,,
Jake Gervase,,LB,,,,,,,,,,
John Simon,,LB,,,,,,,,,,
Al-Rasheed Benton,,ILB,,,,,,,,,,
Terrell Suggs,,LB,,,,,,,,,,
Rodney Butler,,LB,,,,,,,,,,
Kyle Queiro,,ILB,,,,,,,,,,
Craig Robertson,,LB,,,,,,,,,,
Devin Lloyd,CAR,LB,,,,,,,,,,
Kelechi Anyalebechi,,LB,,,,,,,,,,
Eric Nzeocha,,OLB,,,,,,,,,,
Chris Russell,,LB,,,,,,,,,,
Jaylon Smith,,LB,,,,,,,,,,
Tim Williams,,LB,,,,,,,,,,
Zach McCloud,,LB,,,,,,,,,,
E.J. Speed,HOU,LB,,,,,,,,,,
Jonas Griffith,,LB,,,,,,,,,,
Bo Bower,,OLB,,,,,,,,,,
Evan Weaver,,LB,,,,,,,,,,
Wesley Steiner,,LB,,,,,,,,,,
Gary Wilkins,,OLB,,,,,,,,,,
Amari Burney,,LB,,,,,,,,,,
Luiji Vilain,,LB,,,,,,,,,,
Jamie Collins,,LB,,,,,,,,,,
Greg Reaves,,OLB,,,,,,,,,,
Darien Butler,,LB,,,,,,,,,,
Matthew Judon,,LB,,,,,,,,,,
Lorenzo Alexander,,LB,,,,,,,,,,
Krys Barnes,CLE,LB,,,,,,,,,,
Noor Davis,,OLB,,,,,,,,,,
Jimmie Gilbert,,OLB,,,,,,,,,,
Bam Martin-Scott,CAR,LB,,,,,,,,,,
Reggie Ragland,,LB,,,,,,,,,,
Solomon Ajayi,,LB,,,,,,,,,,
Oshane Ximines,,LB,,,,,,,,,,
Christian Kuntz,PIT,LS,,,,,,,,,,
Claudin Cherelus,CAR,LB,,,,,,,,,,
Wyatt Ray,,DE,,,,,,,,,,
Neville Hewitt,,LB,,,,,,,,,,
Kyler Fackrell,,LB,,,,,,,,,,
Lucas Wacha,,OLB,,,,,,,,,,
Jason Pierre-Paul,,LB,,,,,,,,,,
Jordan Mack,,LB,,,,,,,,,,
Kentrell Brothers,,ILB,,,,,,,,,,
Joey Bosa,,LB,,,,,,,,,,
Lander Barton,LAC,LB,,,,,,,,,,
Deon Hollins,,OLB,,,,,,,,,,
Jordan Young,,LB,,,,,,,,,,
Yasir Holmes,TB,LB,,,,,,,,,,
Mykal Walker,,LB,,,,,,,,,,
Easton Gibbs,,LB,,,,,,,,,,
Lakiem Williams,,LB,,,,,,,,,,
Nick Kwiatkoski,,LB,,,,,,,,,,
Josh Corcoran,,OLB,,,,,,,,,,
