player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Trent Murphy,,DE,,,,,,,,,,
Josh Harvey-Clemons,,LB,,,,,,,,,,
Pita Taumoepenu,,LB,,,,,,,,,,
Anthony Hines,,LB,,,,,,,,,,
Charles Snowden,,LB,,,,,,,,,,
Francis Bernard,,LB,,,,,,,,,,
Sage Harold,,OLB,,,,,,,,,,
Brock Mogensen,,LB,,,,,,,,,,
Dyshawn Davis,,OLB,,,,,,,,,,
Ezekiel Turner,,LB,,,,,,,,,,
Ian Swenson,,LB,,,,,,,,,,
Shayne Simon,,LB,,,,,,,,,,
Levelle Bailey,DEN,LB,,,,,,,,,,
Alani Pututau,,LB,,,,,,,,,,
Eugene Asante,ARI,LB,,,,,,,,,,
Todd Davis,,LB,,,,,,,,,,
Richie Brown,,OLB,,,,,,,,,,
Deshaun Davis,,OLB,,,,,,,,,,
Luquay Washington,,LB,,,,,,,,,,
Quart'e Sapp,,LB,,,,,,,,,,
TJ Quinn,,LB,,,,,,,,,,
Deontae Lawson,,LB,,,,,,,,,,
Jameer Thurman,,ILB,,,,,,,,,,
LaRoy Reynolds,NE,LB,,,,,,,,,,
Cam Gill,,LB,,,,,,,,,,
Leo Lowin,,LB,,,,,,,,,,
Mike McCray,,OLB,,,,,,,,,,
Shaq Petteway,,ILB,,,,,,,,,,
Otaro Alaka,,LB,,,,,,,,,,
Jeremiah Moon,CAR,LB,,,,,,,,,,
D.J. Alexander,,LB,,,,,,,,,,
Jon Rhattigan,,LB,,,,,,,,,,
Jaylan Alexander,,LB,,,,,,,,,,
Morgan Fox,,DE,,,,,,,,,,
Maxwell Worship,,LB,,,,,,,,,,
Julius Wilkerson,,LB,,,,,,,,,,
Cooper McDonald,KC,LB,,,,,,,,,,
Bangally Kamara,MIN,LB,,,,,,,,,,
Micah Baskerville,,LB,,,,,,,,,,
Kyzir White,,LB,,,,,,,,,,
Jordan Crook,,LB,,,,,,,,,,
Hunter Dimick,,OLB,,,,,,,,,,
Patrick Mekari,JAX,OL,,,,,,,,,,
