player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Tavius Robinson,BAL,DE,DAL,0.86,0.74,0.4,,0.06,0.12,,,
Jalen Carter,PHI,DL,CHI,1.52,1.07,0.28,,0.45,0.51,0.11,,
Jalen Redmond,MIN,DE,TB,1.67,1.39,0.22,,0.28,,0.06,0.06,
Khalil Mack,LAC,LB,BUF,0.77,0.66,0.28,,0.28,0.28,0.11,,
Milton Williams,NE,DT,JAX,1.37,1.31,0.33,,0.05,0.6,0.05,,
Deone Walker,BUF,DT,LAC,1.28,1.05,0.2,,0.29,0.52,0.06,0.06,
Kwity Paye,LV,DE,NO,1.61,0.81,0.32,,0.05,0.38,0.05,,
Rueben Bain,TB,DL,MIN,1.32,1.02,0.33,,0.15,0.41,0.05,,
Travis Jones,BAL,DL,DAL,1.41,1.35,0.18,,0.12,0.43,0.06,0.06,
Ed Oliver,BUF,DT,LAC,1.42,0.93,0.25,,0.06,0.62,0.12,,
Alex Highsmith,PIT,LB,CIN,1.38,0.9,0.32,,0.11,0.42,0.05,,
Mike Green,BAL,DL,DAL,0.86,1.04,0.31,,,0.31,0.06,,
Gervon Dexter,ATL,DL,GB,1.15,1.26,0.26,,0.05,0.26,,0.05,
Za'Darius Smith,ATL,LB,GB,0.94,0.63,0.37,,0.05,0.52,,,
DJ Wonnum,DET,DE,NYJ,1.33,1.57,0.24,,0.18,0.3,,0.06,
Chop Robinson,MIA,DE,KC,0.71,0.76,0.3,,0.1,0.3,0.05,,
Arden Key,IND,DE,HOU,0.75,0.64,0.29,,0.05,0.21,0.05,,
Leonard Williams,SEA,DE,WAS,1.72,1.56,0.35,,0.05,0.48,,,
Lukas Van Ness,GB,DL,ATL,1.33,0.87,0.35,,,0.35,,,
Cedric Johnson,CIN,DE,PIT,0.06,0.17,0.34,,,0.06,,,
Moro Ojomo,PHI,DE,CHI,0.9,0.95,0.26,,0.05,0.26,0.05,,
Carl Granderson,NO,DE,LV,1.82,1.12,0.27,,0.16,0.48,0.05,,
Cameron Jordan,NO,DE,LV,1.28,0.91,0.27,,0.11,0.53,0.05,,
Byron Murphy,SEA,DL,WAS,1.31,2.34,0.31,,,0.46,,,
Jarran Reed,SEA,DT,WAS,1.14,1.31,0.26,,0.11,0.28,0.06,,
Carl Jones,BAL,DL,DAL,0.74,0.86,,,,0.06,0.06,0.12,
Zach Harrison,ATL,DE,GB,0.84,1.05,0.26,,0.1,0.21,0.05,,
Kayvon Thibodeaux,NYG,DL,TEN,0.87,0.87,0.25,,0.16,0.33,0.05,,
Keeanu Benton,PIT,NT,CIN,1.2,1.05,0.25,,0.2,0.25,0.05,,
