player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Logan Tago,,LB,,,,,,,,,,
David Talley,,OLB,,,,,,,,,,
Landon Honeycutt,,LB,,,,,,,,,,
Vontarrius Dora,,OLB,,,,,,,,,,
Rueben Bain,TB,DL,,,,,,,,,,
Edefuan Ulofoshio,,LB,,,,,,,,,,
Chance Campbell,PHI,LB,,,,,,,,,,
Bruce Irvin,,LB,,,,,,,,,,
Dante McClellan,,LB,,,,,,,,,,
Beniquez Brown,,OLB,,,,,,,,,,
Nate Wieland,,LB,,,,,,,,,,
Steve Longa,,OLB,,,,,,,,,,
Najee Goode,,LB,,,,,,,,,,
Azeez Ojulari,LV,LB,,,,,,,,,,
Boris Anyama,,ILB,,,,,,,,,,
Cameron Smith,,LB,,,,,,,,,,
Kyle Woestmann,,OLB,,,,,,,,,,
West Weeks,IND,LB,,,,,,,,,,
Chris Board,,LB,,,,,,,,,,
Avery Moss,,DE,,,,,,,,,,
DeAndre Square,,LB,,,,,,,,,,
Michael Barrett,,LB,,,,,,,,,,
T.D. Moultry,,LB,,,,,,,,,,
Ryan Kerrigan,,DE,,,,,,,,,,
Asantay Brown,,OLB,,,,,,,,,,
Xzavier Dickson,,ILB,,,,,,,,,,
Chase Hansen,,LB,,,,,,,,,,
Grant Morgan,,LB,,,,,,,,,,
Zach Brown,,LB,,,,,,,,,,
C.J. Johnson,,ILB,,,,,,,,,,
Brandon Bouyer-Randle,,LB,,,,,,,,,,
Trey Flowers,,LB,,,,,,,,,,
DeMarquis Gates,,ILB,,,,,,,,,,
Elerson G. Smith,,LB,,,,,,,,,,
Andre Mintze,,LB,,,,,,,,,,
Liam Anderson,MIA,LB,,,,,,,,,,
Koa Farmer,,OLB,,,,,,,,,,
Jimmy Herman,,OLB,,,,,,,,,,
Rashad Weaver,,LB,,,,,,,,,,
Diaheem Watkins,,ILB,,,,,,,,,,
Reggie Hunter,,LB,,,,,,,,,,
Aaron Smith,SEA,LB,,,,,,,,,,
Cam Bright,,LB,,,,,,,,,,
Ben Burr-Kirven,,LB,,,,,,,,,,
Hardy Nickerson,,LB,,,,,,,,,,
Logan Wilson,,LB,,,,,,,,,,
Eric Gentry,,LB,,,,,,,,,,
Aaron Brule,,LB,,,,,,,,,,
Dillon Lee,,OLB,,,,,,,,,,
Tyus Bowser,,LB,,,,,,,,,,
Cameron Wake,,DE,,,,,,,,,,
Amari Gainer,MIA,LB,,,,,,,,,,
Lorenzo Carter,,LB,,,,,,,,,,
Kahzin Daniels,,OLB,,,,,,,,,,
Seth Benson,,LB,,,,,,,,,,
