player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Kevin Strong,,DE,,,,,,,,,,
Roderick Perry,,DT,,,,,,,,,,
Anthony Winbush,,DE,,,,,,,,,,
Damion Square,CIN,DT,,,,,,,,,,
Robert Cooper,,NT,,,,,,,,,,
Renell Wren,,DT,,,,,,,,,,
Marlon Davidson,,DE,,,,,,,,,,
Ira Savage-Lewis,,NT,,,,,,,,,,
Courtney Wallace,,DT,,,,,,,,,,
Derrick Lott,,DT,,,,,,,,,,
DeMarcus Walker,,DE,,,,,,,,,,
J.J. Watt,,DE,,,,,,,,,,
Dana Levine,,DE,,,,,,,,,,
Joby Saint Fleur,,DE,,,,,,,,,,
Arthur Miley,,DE,,,,,,,,,,
Jonathan Wynn,,DE,,,,,,,,,,
Isaiah Buggs,,DE,,,,,,,,,,
Anquin Barnes,,DT,,,,,,,,,,
Sam Okuayinonu,SF,DE,,,,,,,,,,
Stephen Weatherly,,LB,,,,,,,,,,
Tommy Dunn,DAL,DT,,,,,,,,,,
Noah Shannon,,DL,,,,,,,,,,
Derek Rivers,,DE,,,,,,,,,,
Fadil Diggs,NO,DL,,,,,,,,,,
Mario Addison,,DE,,,,,,,,,,
Sam Hubbard,,DE,,,,,,,,,,
Eddie Yarbrough,MIN,DE,,,,,,,,,,
TK McLendon,,DL,,,,,,,,,,
Dylan Bradley,,NT,,,,,,,,,,
Omari Thomas,,DT,,,,,,,,,,
Zach Wood,NO,LS,,,,,,,,,,
Byron Cowart,WAS,DT,,,,,,,,,,
Carl Nassib,,DE,,,,,,,,,,
BJ Thompson,,DE,,,,,,,,,,
Logan Fano,CLE,DE,,,,,,,,,,
Marquavius Lewis,,DT,,,,,,,,,,
Josh Avery,,DT,,,,,,,,,,
Julius Welschof,PIT,DL,,,,,,,,,,
Stephon Tuitt,,DE,,,,,,,,,,
Brandin Bryant,,DT,,,,,,,,,,
Keonte Schad,,DL,,,,,,,,,,
Ethan Westbrooks,NO,DT,,,,,,,,,,
DeMarvin Leal,,DL,,,,,,,,,,
Matt Ioannidis,,DT,,,,,,,,,,
LaTrell Bumphus,,DL,,,,,,,,,,
Micheal Clemons,IND,DL,,,,,,,,,,
Tevin Lawson,,DL,,,,,,,,,,
Sam McCaskill,,DE,,,,,,,,,,
Luke Brubacher,,DE,,,,,,,,,,
Christian Miller,,LB,,,,,,,,,,
Marvin Jones,WAS,DE,,,,,,,,,,
Kyon Barrs,,DL,,,,,,,,,,
B.J. Green,JAX,DE,,,,,,,,,,
Jayden Peevy,,DL,,,,,,,,,,
Anree Saint-Amour,,DE,,,,,,,,,,
Eurndraus Bryant,,DT,,,,,,,,,,
Ja'Von Rolland-Jones,,DE,,,,,,,,,,
Joe Evans,,DE,,,,,,,,,,
Tim Ward,,DE,,,,,,,,,,
Willie Yarbary,,DT,,,,,,,,,,
Domenique Davis,,DL,,,,,,,,,,
Jeremiah Ledbetter,,DE,,,,,,,,,,
Greg Roberts,,DE,,,,,,,,,,
Nuer Gatkuoth,,DL,,,,,,,,,,
Eric Banks,,DE,,,,,,,,,,
Trevon Coley,,DT,,,,,,,,,,
Jonah Williams,NO,DE,,,,,,,,,,
Denico Autry,,DE,,,,,,,,,,
Jared Harrison-Hunte,ARI,DT,,,,,,,,,,
Mike Daniels,CIN,DT,,,,,,,,,,
Willie Henry,,DT,,,,,,,,,,
Josh Paschal,,DL,,,,,,,,,,
Braxton Hoyett,,DT,,,,,,,,,,
Larrell Murchison,LAR,DT,,,,,,,,,,
Bruce Hector,,DE,,,,,,,,,,
Simeon Barrow,,DT,,,,,,,,,,
Peli Anau,,DE,,,,,,,,,,
T.J. Carter,,DE,,,,,,,,,,
Jamal Perry,,CB,,,,,,,,,,
Dante Barnett,,DL,,,,,,,,,,
Ryan Glasgow,,DT,,,,,,,,,,
Michael Brockers,,DE,,,,,,,,,,
Brayden Thomas,,DE,,,,,,,,,,
Laki Tasi,TEN,DL,,,,,,,,,,
Bryan Bresee,NO,DT,,,,,,,,,,
Tywone Malone,,DT,,,,,,,,,,
Haggai Ndubuisi,,T,,,,,,,,,,
Kameron Cline,,DE,,,,,,,,,,
Connor Flagel,,DE,,,,,,,,,,
Glen Logan,,DT,,,,,,,,,,
Ben Stille,DET,DT,,,,,,,,,,
David Ugwoegbu,,DE,,,,,,,,,,
George Silvanic,,DT,,,,,,,,,,
Carlos Wray,,DE,,,,,,,,,,
Ron Thompson,,DE,,,,,,,,,,
Mayan Ahanotu,,DL,,,,,,,,,,
Alfred Collins,SF,DL,,,,,,,,,,
Joey Ivie,,DT,,,,,,,,,,
Jimmy Bean,,DE,,,,,,,,,,
Dee Liner,,DE,,,,,,,,,,
Greg Milhouse,,DT,,,,,,,,,,
Junior Aho,,DL,,,,,,,,,,
Darius Hodges,,DE,,,,,,,,,,
Kemoko Turay,,DE,,,,,,,,,,
Philip Blidi,,DL,,,,,,,,,,
Eddie Vanderdoes,SF,DT,,,,,,,,,,
Terry Beckner,,DT,,,,,,,,,,
JoJo Ozougwu,,DE,,,,,,,,,,
Carlos Watkins,,DE,,,,,,,,,,
Nick Bosa,SF,DE,,,,,,,,,,
Phidarian Mathis,BUF,DL,,,,,,,,,,
Warren Brinson,GB,DL,,,,,,,,,,
Reggie Howard,,DT,,,,,,,,,,
Tre'vonn Rybka,,DL,,,,,,,,,,
Jamal Woods,,DL,,,,,,,,,,
P.J. Johnson,LV,DT,,,,,,,,,,
John Morgan,,DE,,,,,,,,,,
Mikail Kamara,SF,DE,,,,,,,,,,
Gerri Green,,DE,,,,,,,,,,
Mike Rose,,DE,,,,,,,,,,
Aaron Crawford,,DT,,,,,,,,,,
Omarius Bryant,,NT,,,,,,,,,,
Bradlee Anae,,DE,,,,,,,,,,
Jordan Ferguson,,DE,,,,,,,,,,
Michael Heldman,KC,DE,,,,,,,,,,
Ian Seau,,DE,,,,,,,,,,
Billy Winn,,DT,,,,,,,,,,
Tramel Walthour,,DL,,,,,,,,,,
Caleb Sanders,,DT,,,,,,,,,,
Noah Elliss,,DT,,,,,,,,,,
Josh Black,,DT,,,,,,,,,,
Mike Thornton,,DT,,,,,,,,,,
JoJo Wicker,,DE,,,,,,,,,,
Jeremy Liggins,,DT,,,,,,,,,,
Javier Edwards,,NT,,,,,,,,,,
Nolan Cockrill,,DT,,,,,,,,,,
Andre Anthony,,DE,,,,,,,,,,
Mazi Smith,MIA,DL,,,,,,,,,,
Kingsley Opara,,DL,,,,,,,,,,
Dvon J-Thomas,,DT,,,,,,,,,,
Niles Scott,,DT,,,,,,,,,,
Royce LaFrance,,DE,,,,,,,,,,
Tyler Lancaster,,DT,,,,,,,,,,
Nasir Player,,DL,,,,,,,,,,
Ben Barten,,DL,,,,,,,,,,
Eli Howard,,DE,,,,,,,,,,
Brandon Mebane,,NT,,,,,,,,,,
Durrant Miles,,DE,,,,,,,,,,
