player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
New York Giants,NYG,DEF,TEN,8.57,,,,,,,,,,,,,,,,,,,18.5,,,2.95,0.84,0.63,0.14
Minnesota Vikings,MIN,DEF,TB,8.56,,,,,,,,,,,,,,,,,,,20.5,,,2.68,0.79,0.61,0.12
Carolina Panthers,CAR,DEF,CLE,8.51,,,,,,,,,,,,,,,,,,,19.75,,,2.84,0.8,0.66,0.07
Detroit Lions,DET,DEF,NYJ,8.34,,,,,,,,,,,,,,,,,,,20.5,,,2.55,0.79,0.67,0.12
Philadelphia Eagles,PHI,DEF,CHI,8.22,,,,,,,,,,,,,,,,,,,18.25,,,2.41,0.79,0.52,0.21
New Orleans Saints,NO,DEF,LV,8.17,,,,,,,,,,,,,,,,,,,20.25,,,3.01,0.77,0.62,
Houston Texans,HOU,DEF,IND,8.07,,,,,,,,,,,,,,,,,,,20.0,,,2.25,0.75,0.52,0.19
Buffalo Bills,BUF,DEF,LAC,7.02,,,,,,,,,,,,,,,,,,,21.75,,,2.6,0.78,0.59,0.13
Cincinnati Bengals,CIN,DEF,PIT,6.95,,,,,,,,,,,,,,,,,,,19.5,,,2.44,0.69,0.5,0.06
Los Angeles Rams,LAR,DEF,DEN,6.85,,,,,,,,,,,,,,,,,,,21.5,,,2.34,0.68,0.5,0.18
Jacksonville Jaguars,JAX,DEF,NE,6.78,,,,,,,,,,,,,,,,,,,21.25,,,2.39,0.72,0.56,0.17
New England Patriots,NE,DEF,JAX,6.53,,,,,,,,,,,,,,,,,,,24.25,,,2.32,0.68,0.53,0.11
Baltimore Ravens,BAL,DEF,DAL,6.53,,,,,,,,,,,,,,,,,,,24.5,,,2.31,0.72,0.51,0.15
Tampa Bay Buccaneers,TB,DEF,MIN,6.52,,,,,,,,,,,,,,,,,,,22.0,,,2.57,0.69,0.5,0.13
Denver Broncos,DEN,DEF,LAR,6.45,,,,,,,,,,,,,,,,,,,24.0,,,2.29,0.67,0.43,0.19
Indianapolis Colts,IND,DEF,HOU,6.41,,,,,,,,,,,,,,,,,,,22.5,,,2.4,0.72,0.54,0.12
Cleveland Browns,CLE,DEF,CAR,6.4,,,,,,,,,,,,,,,,,,,22.25,,,2.33,0.65,0.52,0.13
Pittsburgh Steelers,PIT,DEF,CIN,6.34,,,,,,,,,,,,,,,,,,,23.0,,,2.38,0.74,0.51,0.11
Chicago Bears,CHI,DEF,PHI,5.9,,,,,,,,,,,,,,,,,,,22.75,,,2.22,0.65,0.49,0.11
Tennessee Titans,TEN,DEF,NYG,5.65,,,,,,,,,,,,,,,,,,,21.0,,,2.25,0.61,0.48,0.07
Atlanta Falcons,ATL,DEF,GB,5.61,,,,,,,,,,,,,,,,,,,23.75,,,2.15,0.58,0.47,0.1
Las Vegas Raiders,LV,DEF,NO,5.17,,,,,,,,,,,,,,,,,,,23.25,,,2.13,0.52,0.45,0.06
Dallas Cowboys,DAL,DEF,BAL,5.02,,,,,,,,,,,,,,,,,,,28.0,,,2.34,0.67,0.5,0.06
Washington Commanders,WAS,DEF,SEA,4.95,,,,,,,,,,,,,,,,,,,23.5,,,2.14,0.55,0.38,0.05
New York Jets,NYJ,DEF,DET,4.24,,,,,,,,,,,,,,,,,,,27.0,,,1.82,0.38,0.38,0.05
Los Angeles Chargers,LAC,DEF,BUF,4.2,,,,,,,,,,,,,,,,,,,28.75,,,2.18,0.62,0.47,0.1
Arizona Cardinals,ARI,DEF,SF,3.51,,,,,,,,,,,,,,,,,,,28.25,,,1.89,0.45,0.39,0.06
Miami Dolphins,MIA,DEF,KC,3.32,,,,,,,,,,,,,,,,,,,29.0,,,1.91,0.39,0.34,0.06
