player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Henry Black,,DB,,,,,,,,,,
Chris Cooper,,DB,,,,,,,,,,
Brandon Carr,,CB,,,,,,,,,,
Duke Shelley,,DB,,,,,,,,,,
T.J. Carrie,,CB,,,,,,,,,,
Kapena Gushiken,IND,DB,,,,,,,,,,
Dante Blackmon,,CB,,,,,,,,,,
Teez Tabor,,DB,,,,,,,,,,
Kareem Orr,LAR,DB,,,,,,,,,,
Shawn Preston,,DB,,,,,,,,,,
Al Blades,,DB,,,,,,,,,,
Chris Campbell,,CB,,,,,,,,,,
Mike Brown,NE,DB,,,,,,,,,,
Chris Jones,,CB,,,,,,,,,,
Isaiah Bolden,,CB,,,,,,,,,,
Grayland Arnold,,DB,,,,,,,,,,
TJ Moore,,CB,,,,,,,,,,
Ja'Quan Sheppard,,DB,,,,,,,,,,
Terrell Chestnut,,CB,,,,,,,,,,
Devyn Bobby,,DB,,,,,,,,,,
Will Sunderland,,CB,,,,,,,,,,
Jake Carlock,,LB,,,,,,,,,,
D'Montre Wade,,CB,,,,,,,,,,
Aarion Penton,,CB,,,,,,,,,,
Clayton Fejedelem,,DB,,,,,,,,,,
LJ Davis,,CB,,,,,,,,,,
Lance Robinson,,DB,,,,,,,,,,
Jimmy Moreland,,CB,,,,,,,,,,
Tevin Homer,,CB,,,,,,,,,,
Derek Slywka,,DB,,,,,,,,,,
Ricardo Hallman,,CB,,,,,,,,,,
Robert Longerbeam,ATL,DB,,,,,,,,,,
Travis Blackshear,,CB,,,,,,,,,,
Corey Ballentine,,CB,,,,,,,,,,
Xavier Rhodes,,CB,,,,,,,,,,
Lloyd Carrington,,CB,,,,,,,,,,
Alijah Holder,,DB,,,,,,,,,,
Donte Kent,PIT,CB,,,,,,,,,,
Jayson Stanley,,CB,,,,,,,,,,
Michael Dowell,,DB,,,,,,,,,,
Amik Robertson,WAS,CB,,,,,,,,,,
Jordan Wyatt,,CB,,,,,,,,,,
Elliott Davison,NE,DB,,,,,,,,,,
Dwayne Johnson,NYG,DB,,,,,,,,,,
Akeem King,,CB,,,,,,,,,,
Kevin Toliver,,CB,,,,,,,,,,
Josh DeBerry,,CB,,,,,,,,,,
Andre' Sam,PHI,DB,,,,,,,,,,
Joey Blount,ARI,DB,,,,,,,,,,
Tariq Carpenter,,DB,,,,,,,,,,
Mory Bamba,NYJ,CB,,,,,,,,,,
TJ Carter,,DB,,,,,,,,,,
Noah Avinger,,DB,,,,,,,,,,
Bryce Watts,,CB,,,,,,,,,,
Malik Verdon,,DB,,,,,,,,,,
William Hooper,,CB,,,,,,,,,,
Rayshad Williams,,CB,,,,,,,,,,
Sam Beal,,CB,,,,,,,,,,
Tyrell Ford,,CB,,,,,,,,,,
Adarius Pickett,,SS,,,,,,,,,,
Daniel Sorensen,,DB,,,,,,,,,,
Mark Myers,,CB,,,,,,,,,,
Quavian White,,CB,,,,,,,,,,
Zane Lewis,,CB,,,,,,,,,,
Cornell Armstrong,,DB,,,,,,,,,,
Jakorian Bennett,PHI,DB,,,,,,,,,,
Quinton Newsome,,DB,,,,,,,,,,
Marco Wilson,,CB,,,,,,,,,,
Jalen McMurray,TEN,CB,,,,,,,,,,
Kendall Paul,,DB,,,,,,,,,,
Jarell Carter,,CB,,,,,,,,,,
Steven Parker,,DB,,,,,,,,,,
DeAngelo Hardy,,DB,,,,,,,,,,
Caleb Nelson,,CB,,,,,,,,,,
Denzel Williams,,DB,,,,,,,,,,
Ty Zimmerman,,S,,,,,,,,,,
Wyett Ekeler,,CB,,,,,,,,,,
Brandon Joseph,,DB,,,,,,,,,,
Josh Drayden,,CB,,,,,,,,,,
Barkevious Mingo,,LB,,,,,,,,,,
Joe Powell,,SS,,,,,,,,,,
Deshawn McCuin,,DB,,,,,,,,,,
Tray Matthews,,FS,,,,,,,,,,
Matthew Jackson,,DB,,,,,,,,,,
Dwight McGlothern,,DB,,,,,,,,,,
Ayo Oyelola,,DB,,,,,,,,,,
James Wiggins,,DB,,,,,,,,,,
Demetrius Flannigan-Fowles,,LB,,,,,,,,,,
Herb Miller,,CB,,,,,,,,,,
Joe Haden,,CB,,,,,,,,,,
Malik Reaves,,CB,,,,,,,,,,
Johnathan Alston,,FS,,,,,,,,,,
Latavious Brini,,DB,,,,,,,,,,
Zach Franklin,,CB,,,,,,,,,,
Mariel Cooper,,CB,,,,,,,,,,
Clayton Geathers,,DB,,,,,,,,,,
Morris Claiborne,,CB,,,,,,,,,,
Christian Morgan,,DB,,,,,,,,,,
A.J. Terrell,ATL,CB,,,,,,,,,,
Landon Collins,,DB,,,,,,,,,,
Tay Gowan,,CB,,,,,,,,,,
Anthony Johnson,,DB,,,,,,,,,,
Trayvon Henderson,,DB,,,,,,,,,,
Eric Rogers,,DB,,,,,,,,,,
Shyheim Battle,,CB,,,,,,,,,,
Beau Brade,,DB,,,,,,,,,,
Arrion Springs,,DB,,,,,,,,,,
Jordan Holland,,DB,,,,,,,,,,
Ian Conerly-Goodly,,DB,,,,,,,,,,
Mike Smith,,DB,,,,,,,,,,
Levonta Taylor,,CB,,,,,,,,,,
Brad Watson,,CB,,,,,,,,,,
Najee Murray,,CB,,,,,,,,,,
Johnathan Cyprien,JAX,SS,,,,,,,,,,
T.J. Green,HOU,DB,,,,,,,,,,
Sojourn Shelton,,CB,,,,,,,,,,
Derion Kendrick,DAL,DB,,,,,,,,,,
Sam Brown,,CB,,,,,,,,,,
Kevin Peterson,ARI,CB,,,,,,,,,,
Donald Rutledge,ARI,LB,,,,,,,,,,
Shawn Davis,,DB,,,,,,,,,,
Miles Scott,DEN,DB,,,,,,,,,,
Ahmari Harvey,,DB,,,,,,,,,,
