player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Talik Keaton,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamarius Way,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Bayless,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonzo Moore,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riley Ridley,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Williams,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bra'Lon Cherry,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevon Bradford,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key'Shawn Smith,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tayvion Robinson,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dontario Drummond,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaq Roland,CHI,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach D'Orazio,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durron Neal,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Tate,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freddie Swain,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tavon Austin,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson Agholor,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roc Taylor,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devron Harper,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobie Keeney-James,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.J. Shelton,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reece Horn,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Quick,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashod Owens,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binjimen Victor,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laviska Shenault,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathon Rumph,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Roberson,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Eaton,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazmeir Allen,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevontae Hights,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amara Darboh,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam James,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nsimba Webster,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Chrest,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Bond,HOU,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine Burton,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Hall,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damion Willis,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolbe Katsis,DEN,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendal Thompson,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnest Edwards,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Ford,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarius Wright,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Tinsley,HOU,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,NYJ,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Baccellia,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaux Collins,ATL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Grimes,SF,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raylen Sharpe,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Scott,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Sobkowicz,HOU,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artavis Scott,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Ross,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dontez Ford,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
