player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Winston Rose,,CB,,,,,,,,,,
Stantley Thomas-Oliver,,CB,,,,,,,,,,
Jarius Monroe,,CB,,,,,,,,,,
Olaijah Griffin,,CB,,,,,,,,,,
Josh Wallace,LAR,DB,,,,,,,,,,
Dee Delaney,,CB,,,,,,,,,,
Augie Contressa,TB,DB,,,,,,,,,,
Kyle Queiro,,ILB,,,,,,,,,,
Tavierre Thomas,MIN,DB,,,,,,,,,,
Alex Gray,,FS,,,,,,,,,,
Jordan Swann,,CB,,,,,,,,,,
Taylor Rapp,DEN,DB,,,,,,,,,,
Step Durham,,CB,,,,,,,,,,
Kabion Ento,,CB,,,,,,,,,,
D'Angelo Mandell,,CB,,,,,,,,,,
Chris Rayford,,DB,,,,,,,,,,
Amechi Uzodinma,,CB,,,,,,,,,,
DeCarlos Nicholson,,CB,,,,,,,,,,
Leon O'Neal,,DB,,,,,,,,,,
Deantre Prince,CHI,CB,,,,,,,,,,
Delrick Abrams,,DB,,,,,,,,,,
Jay Hughes,,CB,,,,,,,,,,
JoJo McIntosh,,SS,,,,,,,,,,
Gervarrius Owens,,DB,,,,,,,,,,
Marcell Harris,,LB,,,,,,,,,,
Bopete Keyes,,CB,,,,,,,,,,
Ryan-DUP Cooper-DUP,,CB,,,,,,,,,,
Jabbar Muhammad,JAX,CB,,,,,,,,,,
Brandon Facyson,,CB,,,,,,,,,,
Jairon McVea,,DB,,,,,,,,,,
D'Shawn Jamison,ARI,CB,,,,,,,,,,
Alexander Myres,,CB,,,,,,,,,,
Alijah Huzzie,HOU,DB,,,,,,,,,,
Ennis Rakestraw,DET,DB,,,,,,,,,,
C.J. Moore,DET,DB,,,,,,,,,,
Rachad Wildgoose,,CB,,,,,,,,,,
Tre Jenkins,,DB,,,,,,,,,,
Jonathan Sutherland,,DB,,,,,,,,,,
Deion Harris,,DB,,,,,,,,,,
Tre Hawkins,,CB,,,,,,,,,,
Lee Hightower,,FS,,,,,,,,,,
Marquez Sanford,,DB,,,,,,,,,,
Desmond Cooper,,FS,,,,,,,,,,
DeAndre Houston-Carson,,DB,,,,,,,,,,
Trevor Denbow,,DB,,,,,,,,,,
Christian Boutte,,CB,,,,,,,,,,
Noah Igbinoghene,CLE,CB,,,,,,,,,,
Randy Franklin,,DB,,,,,,,,,,
Cordrea Tankersley,,CB,,,,,,,,,,
Tyler Baker-Williams,,DB,,,,,,,,,,
John Tidwell,,CB,,,,,,,,,,
Aaron Maddox,,DB,,,,,,,,,,
Jaden Robinson,NYG,CB,,,,,,,,,,
Douglas Coleman,,S,,,,,,,,,,
Amani Oruwariye,BAL,CB,,,,,,,,,,
Josh Liddell,,S,,,,,,,,,,
Ashton Lampkin,,CB,,,,,,,,,,
Sterling Weatherford,,DB,,,,,,,,,,
Dallin Leavitt,,DB,,,,,,,,,,
Josh Thompson,,DB,,,,,,,,,,
Chad Cota,HOU,S,,,,,,,,,,
Devonta Glover-Wright,,CB,,,,,,,,,,
Kekoura Tarnue,,DB,,,,,,,,,,
Marcus Gilchrist,,DB,,,,,,,,,,
Richard LeCounte,,DB,,,,,,,,,,
Myles Bryant,CLE,DB,,,,,,,,,,
Martez Manuel,,DB,,,,,,,,,,
Jimmy Jean,,S,,,,,,,,,,
De'Vante Bausby,,CB,,,,,,,,,,
Montae Nicholson,,SS,,,,,,,,,,
Shaquan Loyal,,DB,,,,,,,,,,
Trey Washington,IND,DB,,,,,,,,,,
Clifton Duck,,CB,,,,,,,,,,
Sheldrick Redwine,,DB,,,,,,,,,,
Ezekiel Turner,,LB,,,,,,,,,,
Skyler Thomas,,DB,,,,,,,,,,
Donte Vaughn,,CB,,,,,,,,,,
Devin Grant,,DB,,,,,,,,,,
Montre Hartage,,DB,,,,,,,,,,
DreQuan Hoskey,,CB,,,,,,,,,,
Woo Governor,,DB,,,,,,,,,,
Michael J. Thomas,,DB,,,,,,,,,,
Bradley Roby,,CB,,,,,,,,,,
BJ Mayes,,CB,,,,,,,,,,
DeVonta Smith,CAR,CB,,,,,,,,,,
Kenny Vaccaro,,SS,,,,,,,,,,
J.R. Nelson,,CB,,,,,,,,,,
Desmond Igbinosun,,DB,,,,,,,,,,
Trevor Williams,,CB,,,,,,,,,,
Robert Kennedy,,DB,,,,,,,,,,
Sebastian Castro,PIT,DB,,,,,,,,,,
Tony Brown,,DB,,,,,,,,,,
Desmond Trufant,,CB,,,,,,,,,,
Erick Dargan,,S,,,,,,,,,,
Shabari Davis,,CB,,,,,,,,,,
Chris Jackson,,DB,,,,,,,,,,
Afolabi Laguda,,FS,,,,,,,,,,
Jacob Hagen,,FS,,,,,,,,,,
James Bradberry,,CB,,,,,,,,,,
Jordan Martin,,SS,,,,,,,,,,
Jerry Jacobs,,CB,,,,,,,,,,
Damon Arnette,,CB,,,,,,,,,,
Jalen Harvey,,DB,,,,,,,,,,
Hakeem Bailey,,CB,,,,,,,,,,
DeJuan Neal,,DB,,,,,,,,,,
Clayton Isbell,,DB,,,,,,,,,,
Dante Barnett,,FS,,,,,,,,,,
Tyler Hall,,DB,,,,,,,,,,
Bralen Trahan,,DB,,,,,,,,,,
Christian Angulo,,DB,,,,,,,,,,
Ha Ha Clinton-Dix,DEN,DB,,,,,,,,,,
Malik Dixon-Williams,,DB,,,,,,,,,,
Isaiah Dunn,,DB,,,,,,,,,,
DQ Smith,,DB,,,,,,,,,,
Jamar Summers,,FS,,,,,,,,,,
Nijuel Hill,,DB,,,,,,,,,,
Rejzohn Wright,NO,CB,,,,,,,,,,
Will Johnson,ARI,DB,,,,,,,,,,
Dee Williams,,DB,,,,,,,,,,
Michael Coe,DAL,CB,,,,,,,,,,
Elijah Benton,,DB,,,,,,,,,,
Daylan Carnell,,DB,,,,,,,,,,
Rashard Causey,,CB,,,,,,,,,,
Mike Ford,ATL,DB,,,,,,,,,,
Kenny Ladler,,FS,,,,,,,,,,
Quincy Mauger,,SS,,,,,,,,,,
Jalin Burrell,,CB,,,,,,,,,,
Drew Hartlaub,,DB,,,,,,,,,,
Tyrique McGhee,,DB,,,,,,,,,,
J.T. Gray,,DB,,,,,,,,,,
Chris Campbell,,CB,,,,,,,,,,
Bennett Jackson,,DB,,,,,,,,,,
TJ Hall,NO,CB,,,,,,,,,,
Evan Slocum,,DB,,,,,,,,,,
Jamar Taylor,,CB,,,,,,,,,,
Ryan Neal,,SS,,,,,,,,,,
Keaton Ellis,,DB,,,,,,,,,,
Jaylon McClain-Sapp,,DB,,,,,,,,,,
Tae Daley,,DB,,,,,,,,,,
Marc-Antoine Dequoy,,DB,,,,,,,,,,
Kenny Logan,,DB,,,,,,,,,,
Reshad Jones,,FS,,,,,,,,,,
David Jones,,FS,,,,,,,,,,
Kahlef Hailassie,GB,CB,,,,,,,,,,
Israel Mukuamu,,DB,,,,,,,,,,
Glendon Miller,,DB,,,,,,,,,,
Ja'Sir Taylor,CIN,DB,,,,,,,,,,
Ryan McKinley,,CB,,,,,,,,,,
R.J. Delancy,,CB,,,,,,,,,,
Dane Cruikshank,,DB,,,,,,,,,,
Anthony Brown,,CB,,,,,,,,,,
Andrew Sendejo,,DB,,,,,,,,,,
Nydair Rouse,,CB,,,,,,,,,,
Asantay Brown,,OLB,,,,,,,,,,
Kevin Knowles,TB,DB,,,,,,,,,,
Jarren Williams,,CB,,,,,,,,,,
Dominique Martin,,CB,,,,,,,,,,
Brian Allen,,CB,,,,,,,,,,
Fred Davis,WAS,CB,,,,,,,,,,
Michael Coats,CLE,CB,,,,,,,,,,
Tae Hayes,,CB,,,,,,,,,,
Tariq Castro-Fields,,DB,,,,,,,,,,
Tre Webb,,DB,,,,,,,,,,
Robert Jackson,,CB,,,,,,,,,,
Javien Elliott,,CB,,,,,,,,,,
Adoree' Jackson,,DB,,,,,,,,,,
Cameron McCutcheon,,CB,,,,,,,,,,
Jaire Alexander,,CB,,,,,,,,,,
Josh Thomas,,DB,,,,,,,,,,
Chris Milton,MIA,DB,,,,,,,,,,
