player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Tamon Lynum,,DB,,,,,,,,,,
Jaquan Johnson,,DB,,,,,,,,,,
Kindle Vildor,NE,DB,,,,,,,,,,
Devyn Perkins,,DB,,,,,,,,,,
Rashad Torrence,,DB,,,,,,,,,,
Tyreek Chappell,MIN,CB,,,,,,,,,,
Harrison Hand,,CB,,,,,,,,,,
D.J. Hayden,WAS,CB,,,,,,,,,,
Justin Coleman,,CB,,,,,,,,,,
Tommy McCormick,,DB,,,,,,,,,,
Demani Richardson,,DB,,,,,,,,,,
Davontae Harris,,CB,,,,,,,,,,
Kitan Crawford,ARI,DB,,,,,,,,,,
Fentrell Cypress,,CB,,,,,,,,,,
Bryce Phillips,,DB,,,,,,,,,,
Gerod Holliman,,FS,,,,,,,,,,
Darryl Roberts,,CB,,,,,,,,,,
Virgil Lemons,,DB,,,,,,,,,,
Peter Manuma,,DB,,,,,,,,,,
Donald Payne,,LB,,,,,,,,,,
Antonio Crawford,,CB,,,,,,,,,,
Mackensie Alexander,,CB,,,,,,,,,,
Don Gardner,,CB,,,,,,,,,,
Jordan Simone,,SS,,,,,,,,,,
Terrence Alexander,,CB,,,,,,,,,,
Nick Andersen,LAR,DB,,,,,,,,,,
Nate Evans,,CB,,,,,,,,,,
Jordan Oladokun,,CB,,,,,,,,,,
Andrew Hayes,,DB,,,,,,,,,,
Justin Hardee,,CB,,,,,,,,,,
Jakob Robinson,,CB,,,,,,,,,,
Charlie Miller,,FS,,,,,,,,,,
Jack Koerner,,DB,,,,,,,,,,
Anthony Kendall,BUF,CB,,,,,,,,,,
Ramon Richards,,SS,,,,,,,,,,
Jordan Polk,,CB,,,,,,,,,,
A.J. Green,,CB,,,,,,,,,,
Cam Brown,,CB,,,,,,,,,,
David Simmons,,CB,,,,,,,,,,
Jordan Poyer,,DB,,,,,,,,,,
Chigozie Anusiem,LV,CB,,,,,,,,,,
Matthew McDoom,,CB,,,,,,,,,,
Darius Slay,,CB,,,,,,,,,,
Bryon Fields,,DB,,,,,,,,,,
Antone Exum,,SS,,,,,,,,,,
Dan Isom,,DB,,,,,,,,,,
Elijah Molden,LAC,CB,,,,,,,,,,
Jamal Adams,MIN,SS,,,,,,,,,,
Ekow Boye-Doe,,CB,,,,,,,,,,
Johnathan Abram,,DB,,,,,,,,,,
Jonathon Mincy,,FS,,,,,,,,,,
Kaleb Ford-Dement,,CB,,,,,,,,,,
Ka'dar Hollman,,DB,,,,,,,,,,
Alfahiym Walcott,,DB,,,,,,,,,,
Dalys Beanum,,CB,,,,,,,,,,
Kenneth Penny,,CB,,,,,,,,,,
Nik Needham,,CB,,,,,,,,,,
Kiondre Thomas,,CB,,,,,,,,,,
Ken Crawley,,CB,,,,,,,,,,
Tysheem Johnson,,DB,,,,,,,,,,
Derrek Thomas,,DB,,,,,,,,,,
Rashad Wisdom,TB,DB,,,,,,,,,,
Joe Rankin,,CB,,,,,,,,,,
Jeff Gladney,,CB,,,,,,,,,,
Adrian McDonald,,SS,,,,,,,,,,
Jalen Mills,DET,CB,,,,,,,,,,
Jarrian Jones,JAX,DB,,,,,,,,,,
Bobby Price,,DB,,,,,,,,,,
Rojesterman Farris,DEN,DB,,,,,,,,,,
A.J. Woods,,CB,,,,,,,,,,
Tajh Hasson,,CB,,,,,,,,,,
Breon Borders,,CB,,,,,,,,,,
Chris Humes,,SS,,,,,,,,,,
Brady Breeze,,DB,,,,,,,,,,
Ben DeLuca,,DB,,,,,,,,,,
Jamar Johnson,,DB,,,,,,,,,,
Roderic Teamer,,DB,,,,,,,,,,
Shaquille Richardson,,CB,,,,,,,,,,
Kader Kohou,KC,CB,,,,,,,,,,
DeShon Elliott,PIT,DB,,,,,,,,,,
Robert Rochell,,DB,,,,,,,,,,
Andrew Soroh,,DB,,,,,,,,,,
Carlos Davis,,DT,,,,,,,,,,
Antoine Brooks,,DB,,,,,,,,,,
Trevon Mathis,,CB,,,,,,,,,,
Brandon Bishop,,DB,,,,,,,,,,
Jaytlin Askew,,CB,,,,,,,,,,
Pierre Desir,,CB,,,,,,,,,,
Jarrod Wilson,,DB,,,,,,,,,,
Anthony Harris,,DB,,,,,,,,,,
Jason Maitre,,CB,,,,,,,,,,
Abu Daramy-Swaray,,CB,,,,,,,,,,
Greedy Williams,,CB,,,,,,,,,,
KC Eziomume,,DB,,,,,,,,,,
Ryan Carter,,CB,,,,,,,,,,
Marcus Harris,TEN,DB,,,,,,,,,,
Marcus Edmond,,DB,,,,,,,,,,
Trayvon Mullen,,CB,,,,,,,,,,
Justin Simmons,,DB,,,,,,,,,,
Aaron Taylor,,S,,,,,,,,,,
Shakur Brown,,CB,,,,,,,,,,
Doneiko Slaughter,PIT,DB,,,,,,,,,,
Bless Austin,,DB,,,,,,,,,,
Jaquiski Tartt,,DB,,,,,,,,,,
Derrek Pitts,,CB,,,,,,,,,,
Devin Taylor,,CB,,,,,,,,,,
Damon Webb,,SS,,,,,,,,,,
Will Brooks,,DB,,,,,,,,,,
Johnathan Joseph,,CB,,,,,,,,,,
Jordan Thomas,,CB,,,,,,,,,,
John Saunders,NYJ,DB,,,,,,,,,,
Donte Deayon,,CB,,,,,,,,,,
Lamarcus Brutus,,SS,,,,,,,,,,
Jaden Davis,,DB,,,,,,,,,,
T.J. Mutcherson,,SS,,,,,,,,,,
Ty Okada,SEA,DB,,,,,,,,,,
Kelvin Joseph,,CB,,,,,,,,,,
Joshuah Bledsoe,,DB,,,,,,,,,,
Stanford Samuels,,CB,,,,,,,,,,
Jordan Taylor,,CB,,,,,,,,,,
Lamarcus Joyner,,DB,,,,,,,,,,
Troy Apke,,DB,,,,,,,,,,
Xavier Crawford,,DB,,,,,,,,,,
Derrick Canteen,,CB,,,,,,,,,,
Doug Middleton,SF,DB,,,,,,,,,,
Ceyair Wright,,CB,,,,,,,,,,
Trumaine Johnson,,CB,,,,,,,,,,
Josh Butler,,CB,,,,,,,,,,
Quandre Diggs,,DB,,,,,,,,,,
Melvin Smith,KC,DB,,,,,,,,,,
Antwuan Davis,,CB,,,,,,,,,,
Alex Cook,,DB,,,,,,,,,,
Jahquez Robinson,BAL,DB,,,,,,,,,,
Jammie Robinson,ATL,DB,,,,,,,,,,
Bryce Thompson,,CB,,,,,,,,,,
Micah Hannemann,,FS,,,,,,,,,,
Raven Greene,,DB,,,,,,,,,,
Dominick Sanders,,FS,,,,,,,,,,
Trevon Diggs,SEA,CB,,,,,,,,,,
Gareon Conley,,CB,,,,,,,,,,
Bradley McDougald,JAX,DB,,,,,,,,,,
Kurt Coleman,,FS,,,,,,,,,,
Rico Payton,,CB,,,,,,,,,,
Dontae Johnson,,CB,,,,,,,,,,
Davion Ross,,DB,,,,,,,,,,
JayVian Farr,,DB,,,,,,,,,,
Patrick Chung,,SS,,,,,,,,,,
A.J. Thomas,,DB,,,,,,,,,,
Cobee Bryant,,DB,,,,,,,,,,
Jaylen Key,,DB,,,,,,,,,,
Holton Hill,,CB,,,,,,,,,,
Donovan Olumba,,CB,,,,,,,,,,
Bryce Sheppert,,DB,,,,,,,,,,
Tracy Walker,,DB,,,,,,,,,,
Sidney Jones,,CB,,,,,,,,,,
Andrew Booth,,DB,,,,,,,,,,
Anthony Johnson,CHI,DB,,,,,,,,,,
Mark Fields,SF,CB,,,,,,,,,,
Brandon Hill,,DB,,,,,,,,,,
John Reid,,CB,,,,,,,,,,
Reese Fleming,,CB,,,,,,,,,,
Darius Williams,,CB,,,,,,,,,,
Ryan White,,CB,,,,,,,,,,
Devin Pringle,,DB,,,,,,,,,,
Jordan Richards,BAL,DB,,,,,,,,,,
Cam'Ron Silmon-Craig,JAX,DB,,,,,,,,,,
Damian Parms,,SS,,,,,,,,,,
Christian Braswell,JAX,DB,,,,,,,,,,
Sanoussi Kane,,DB,,,,,,,,,,
Dakari Monroe,,CB,,,,,,,,,,
Alex Austin,,DB,,,,,,,,,,
Darian Thompson,DAL,DB,,,,,,,,,,
Brendon White,NYJ,LB,,,,,,,,,,
Bobby McCain,,CB,,,,,,,,,,
Elijah Riley,,DB,,,,,,,,,,
Zech McPhearson,,CB,,,,,,,,,,
Marshon Lattimore,,CB,,,,,,,,,,
